year,AE,BH,BR,CZ,EG,FR,IN,IQ,JO,KW,LB,OM,PS,QA,SA,SY,TH,TR,US,XM,YE
1906,,,,,,39426964.467,,,,,,,,,,,,,85450000.0,,
1905,,,,,,39390507.6142,,,,,,,,,,,,,83822000.0,,
1904,,,,,,39327380.7107,,,,,,,,,,,,,82166000.0,,
1903,,,,,,39245187.8173,,,,,,,,,,,,,80632000.0,,
1902,,,,,,39151248.731,,,,,,,,,,,,,79163000.0,,
1901,,,,,,39072010.1523,,,,,,,,,,,,,77584000.0,,
1900,,,,,,39098192.8934,,,,,,,,,,,,,76094000.0,,
1899,,,,,,39134862.9442,,,,,,,,,,,,,74799000.0,,
1898,,,,,,39106507.6142,,,,,,,,,,,,,73494000.0,,
1897,,,,,,39057096.4467,,,,,,,,,,,,,72189000.0,,
1896,,,,,,39001126.9036,,,,,,,,,,,,,70885000.0,,
1895,,,,,,38991089.3137,,,,,,,,,,,,,69580000.0,,
1894,,,,,,38981054.3073,,,,,,,,,,,,,68275000.0,,
1893,,,,,,38971021.8835,,,,,,,,,,,,,66970000.0,,
1892,,,,,,38960992.0417,,,,,,,,,,,,,65666000.0,,
1891,,,,,,38950964.7813,,,,,,,,,,,,,64361000.0,,
1890,,,,,,38940940.1015,,,,,,,,,,,,,63056000.0,,
1889,,,,,,38875472.4055,,,,,,,,,,,,,61775000.0,,
1888,,,,,,38810114.774000004,,,,,,,,,,,,,60496000.0,,
1887,,,,,,38744867.0222,,,,,,,,,,,,,59217000.0,,
1886,,,,,,38679728.9651,,,,,,,,,,,,,57938000.0,,
1885,,,,,,38614700.4185,,,,,,,,,,,,,56658000.0,,
1884,,,,,,38549781.1982,,,,,,,,,,,,,55379000.0,,
1883,,,,,,38484971.1204,,,,,,,,,,,,,54100000.0,,
1882,,,,,,38420270.0016,,,,,,,,,,,,,52821000.0,,
1881,,,,,,38355677.6586,,,,,,,,,,,,,51542000.0,,
1880,,,,,,38291193.9086,,,,,,,,,,,,,50262000.0,,
1879,,,,,,38209569.8825,,,,,,,,,,,,,49208000.0,,
1878,,,,,,38128119.8515,,,,,,,,,,,,,48174000.0,,
1877,,,,,,38046843.4448,,,,,,,,,,,,,47141000.0,,
1876,,,,,,37965740.2921,,,,,,,,,,,,,,,
1875,,,,,,37884810.0243,,,,,,,,,,,,,,,
1874,,,,,,37804052.2728,,,,,,,,,,,,,,,
1873,,,,,,37723466.6698,,,,,,,,,,,,,,,
1872,,,,,,37643052.8484,,,,,,,,,,,,,,,
1871,,,,,,37562810.4423,,,,,,,,,,,,,,,
1870,,,,,,37482739.0863,,,,,,,,,,,,,,,
1869,,,,,,37551123.0457,,,,,,,,,,,,,,,
1868,,,,,,37619631.7656,,,,,,,,,,,,,,,
1867,,,,,,37688265.4736,,,,,,,,,,,,,,,
1866,,,,,,37757024.3978,,,,,,,,,,,,,,,
1865,,,,,,37825908.7666,,,,,,,,,,,,,,,
1864,,,,,,37894918.8089,,,,,,,,,,,,,,,
1863,,,,,,37964054.7539,,,,,,,,,,,,,,,
1862,,,,,,38033316.8314,,,,,,,,,,,,,,,
1861,,,,,,38102705.2714,,,,,,,,,,,,,,,
1860,,,,,,38172220.3046,,,,,,,,,,,,,,,
1859,,,,,,38012575.9727,,,,,,,,,,,,,,,
1858,,,,,,37853599.3074,,,,,,,,,,,,,,,
1857,,,,,,37695287.5163,,,,,,,,,,,,,,,
1856,,,,,,37537637.8186,,,,,,,,,,,,,,,
1855,,,,,,37380647.4455,,,,,,,,,,,,,,,
1854,,,,,,37224313.6395,,,,,,,,,,,,,,,
1853,,,,,,37068633.6547,,,,,,,,,,,,,,,
1852,,,,,,36913604.7566,,,,,,,,,,,,,,,
1851,,,,,,36759224.2222,,,,,,,,,,,,,,,
1850,,,,,,36605489.3401,,,,,,,,,,,,,,,
1849,,,,,,36464159.9121,,,,,,,,,,,,,,,
1848,,,,,,36323376.1401,,,,,,,,,,,,,,,
1847,,,,,,36183135.9174,,,,,,,,,,,,,,,
1846,,,,,,36043437.1456,,,,,,,,,,,,,,,
1845,,,,,,35904277.734,,,,,,,,,,,,,,,
1844,,,,,,35765655.6003,,,,,,,,,,,,,,,
1843,,,,,,35627568.6702,,,,,,,,,,,,,,,
1842,,,,,,35490014.8772,,,,,,,,,,,,,,,
1841,,,,,,35352992.163,,,,,,,,,,,,,,,
1840,,,,,,35216498.4772,,,,,,,,,,,,,,,
1839,,,,,,35053163.7116,,,,,,,,,,,,,,,
1838,,,,,,34890586.4957,,,,,,,,,,,,,,,
1837,,,,,,34728763.3159,,,,,,,,,,,,,,,
1836,,,,,,34567690.675,,,,,,,,,,,,,,,
1835,,,,,,34407365.0919,,,,,,,,,,,,,,,
1834,,,,,,34247783.1018,,,,,,,,,,,,,,,
1833,,,,,,34088941.256,,,,,,,,,,,,,,,
1832,,,,,,33930836.1215,,,,,,,,,,,,,,,
1831,,,,,,33773464.2815,,,,,,,,,,,,,,,
1830,,,,,,33616822.335,,,,,,,,,,,,,,,
1829,,,,,,33423039.5022,,,,,,,,,,,,,,,
1828,,,,,,33230373.7228,,,,,,,,,,,,,,,
1827,,,,,,33038818.5576,,,,,,,,,,,,,,,
1826,,,,,,32848367.6045,,,,,,,,,,,,,,,
