year,ARE,SGP,USA,MWI,ARG,TUR,KEN,KOR,MUS,HUN,NOR,OMN,KWT,GHA,BRA,JOR,EGY,DNK,AUS,NGA,ESP,MYS,IND,QAT,CZE,GBR,THA,UGA,ZAF,SAU,LBN,ZMB,IRQ,YEM,RUS,SYC,ITA,URY,SYR,JPN,FRA,NZL
2016,,,,,,12733.0,,29158.0,,,,,,,,,,,,,,,,,,,6194.0,,,,,,,,,,,,,,,
2015,,,,,,12608.0,,28559.0,,,,,,,11156.0,,5782.0,,57469.0,,,,,,16224.0,,5923.0,,,,,,,,10558.0,,,,,,,
1956,,6364.0,26010.0,473.0,15371.0,,1689.0,,2607.0,2374.0,22870.0,,,1996.0,,,,17926.0,22046.0,2037.0,,1768.0,543.0,,,,,792.0,6121.0,,,1960.0,,,,,,,,6691.0,12490.0,23616.0
1955,,6392.0,25600.0,445.0,15271.0,,1628.0,,2578.0,2791.0,21798.0,,,1946.0,,,,17901.0,21746.0,2127.0,6050.0,1700.0,519.0,,,,,763.0,5868.0,,,1786.0,,,,4005.0,,,,6455.0,11995.0,22768.0
1954,,6300.0,23906.0,448.0,14496.0,,1543.0,,2568.0,,21482.0,,,2167.0,,,,17846.0,20924.0,2112.0,5908.0,1726.0,515.0,,,,,733.0,5666.0,,,1895.0,,,,,,,,5997.0,11450.0,22790.0
1953,,6301.0,24387.0,439.0,14206.0,,1402.0,,2492.0,,20536.0,,,1977.0,,,,17621.0,19954.0,1997.0,5655.0,1647.0,502.0,,,,,765.0,5429.0,,,1829.0,,,,,,,,5861.0,10903.0,20094.0
1952,,6144.0,23644.0,431.0,13725.0,,1476.0,,2463.0,,19908.0,,,1782.0,,,,16710.0,19720.0,,5706.0,1670.0,478.0,,,,,750.0,5330.0,,,1766.0,,,,,,,,5683.0,10602.0,19800.0
1951,,6006.0,23056.0,422.0,14917.0,,1716.0,,2454.0,2694.0,19427.0,,,1880.0,,,,16724.0,20035.0,,5261.0,1617.0,470.0,,,,,723.0,5345.0,,,1703.0,,,,,,,,5372.0,10344.0,19272.0
1950,,5885.0,21599.0,412.0,14638.0,,1411.0,,2378.0,,18555.0,,,,,,,16793.0,19641.0,,4771.0,1747.0,,,,,,777.0,5324.0,,,1637.0,,,,,,,,4626.0,9863.0,21497.0
1949,,,19845.0,,,,,,,,,,,,,,,,,,4766.0,,,,,,,,5333.0,,,,,,,,,,,4503.0,8897.0,
1948,,,20545.0,,,,,,,,,,,,,,,,,,4820.0,,,,,,,,5308.0,,,,,,,,,,,4102.0,8293.0,
1947,,,19666.0,,,,,,,,,,,,,,,,,,4889.0,,,,,,,,5064.0,,,,,,,,,,,3795.0,7356.0,
1946,,,20387.0,,,,,,,,,,,,,,,,,,4900.0,,,,,,,,5160.0,,,,,,,,,,,3200.0,7408.0,
1945,,,23239.0,,,,,,,,,,,,,,,,,,4766.0,,,,,,,,,,,,,,,,,,,,5619.0,
1944,,,24117.0,,,,,,,,,,,,,,,,,,5278.0,,,,,,,,,,,,,,,,,,,,4413.0,
1943,,,23357.0,,,,,,,,,,,,,,,,,,5090.0,,,,,,,,,,,,,,,,,,,,4945.0,
1942,,,20228.0,,,,,,,,,,,,,,,,,,4916.0,,,,,,,,,,,,,,,,,,,,5578.0,
1941,,,17143.0,,,,,,,,,,,,,,,,,,4647.0,,,,,,,,,,,,,,,,,,,,5809.0,
1940,,,14473.0,,,,,2893.0,,,,,,,,,,,,,4688.0,,,,,,,,,,,,,,,,,,,,5771.0,
1939,,,13362.0,,,,,2478.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8528.0,
1938,,,12498.0,,,,,2774.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7288.0,
1937,,,13501.0,,,,,2784.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7152.0,
1936,,,12737.0,,,,,2344.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7398.0,
1935,,,11536.0,,,,,2345.0,,,,,,,,,,,,,5706.0,,,,,,,,,,,,,,,,,,,,6770.0,
1934,,,10481.0,,,,,2193.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6377.0,
1933,,,9374.0,,,,,2216.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6661.0,
1932,,,9684.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6577.0,
1931,,,11480.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6998.0,
1930,,,12885.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7509.0,
1929,,,14308.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8252.0,
1928,,,13636.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8120.0,
1927,,,13490.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7398.0,
1926,,,13743.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7741.0,
1925,,,13130.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7664.0,
1924,,,12898.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7263.0,
1923,,,13064.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7302.0,
1922,,,11610.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6800.0,
1921,,,10696.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6568.0,
1920,,,11861.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6504.0,
1919,,,12125.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6491.0,
1918,,,12796.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6103.0,
1917,,,12095.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6962.0,
1916,,,12288.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7033.0,
1915,,,10777.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6210.0,
1914,,,10567.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1913,,,11695.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1912,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1911,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1910,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6241.0,
1909,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1908,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1907,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1906,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1905,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1904,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1903,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1902,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1901,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6505.0,
1899,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1898,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1897,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1896,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1895,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1894,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1893,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1892,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1891,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1890,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1889,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1888,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1887,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1877,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1870,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1867,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1857,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1847,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1837,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1827,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1817,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1807,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
