Variable Name;.;.;.;Fiscal income  | equal-split adults | Average | Adults | constant 2015 local currency;Pre-tax national income  | equal-split adults | Average | Adults | constant 2015 local currency;Fiscal income  | equal-split adults | Beta coefficient | Adults | constant 2015 local currency;Pre-tax national income  | equal-split adults | Beta coefficient | Adults | constant 2015 local currency;Pre-tax national income  | equal-split adults | Threshold | Adults | constant 2015 local currency;Fiscal income  | equal-split adults | Share | Adults | share of total (ratio);Pre-tax national income  | equal-split adults | Share | Adults | share of total (ratio);Fiscal income  | equal-split adults | Threshold | Adults | constant 2015 local currency
;IN;1953;p35p100;29582.591919;43669.7406238;2.60049295425;2.60049319267;16792.8691406;0.8810938001;0.8810938001;11375.7626953
;IN;1953;p36p100;29865.5221322;44087.4014245;2.57169651985;2.57169651985;17143.3144531;0.8758357167;0.8758357167;11613.1591797
;IN;1953;p37p100;30153.4802652;44512.4844263;2.54057860374;2.54057884216;17520.6074219;0.8704634905;0.8704634905;11868.7451172
;IN;1953;p38p100;30446.4683285;44944.9925976;2.50545430183;2.50545406342;17938.8613281;0.8649702668;0.8649702668;12152.0751953
;IN;1953;p39p100;30744.3306638;45384.6961558;2.47193789482;2.47193813324;18359.9648438;0.8593447804;0.8593447804;12437.3388672
;IN;1953;p40p100;31047.3304967;45831.9836736;2.43673038483;2.43673038483;18808.8046875;0.8535875678;0.8535875678;12741.3896484
;IN;1953;p41p100;31355.4534644;46286.833949;2.40497016907;2.40497040749;19246.3222656;0.8476911783;0.8476911783;13037.7724609
;IN;1953;p42p100;31669.146219;46749.9063283;2.37757539749;2.37757539749;19662.8496094;0.84166044;0.84166044;13319.9335938
;IN;1953;p43p100;31988.9917323;47222.0613932;2.3496632576;2.3496632576;20097.3730469;0.8355029225;0.8355029225;13614.2871094
;IN;1953;p44p100;32315.1314665;47703.5079695;2.32773971558;2.32773971558;20493.4882812;0.829213798;0.829213798;13882.6220703
;IN;1953;p45p100;32648.4101384;48195.4930261;2.31000971794;2.31000971794;20863.7617188;0.8228057027;0.8228057027;14133.4521484
;IN;1953;p46p100;32989.559189;48699.0963138;2.29654884338;2.29654884338;21205.3398438;0.8162869215;0.8162869215;14364.8417969
;IN;1953;p47p100;33339.3848967;49215.5080591;2.29152131081;2.29152154922;21477.21875;0.8096662164;0.8096662164;14549.0175781
;IN;1953;p48p100;33699.2733766;49746.7744408;2.28575587273;2.28575587273;21763.8183594;0.8029646873;0.8029646873;14743.1640625
;IN;1953;p49p100;34069.569151;50293.404042;2.28438162804;2.28438162804;22016.2011719;0.7961765528;0.7961765528;14914.1318359
;IN;1953;p50p100;34451.2946997;50856.9062444;2.2824280262;2.28242778778;22281.9335938;0.7893109322;0.7893109322;15094.1435547
;IN;1953;p51p100;34844.9055746;51437.9535327;2.27892184258;2.27892208099;22571.1777344;0.7823623419;0.7823623419;15290.0830078
;IN;1953;p52p100;35250.7462413;52037.0544059;2.27590680122;2.27590680122;22864.3164062;0.7753220201;0.7753220201;15488.6591797
;IN;1953;p53p100;35669.4866193;52655.1977972;2.2662832737;2.2662832737;23234.1640625;0.7681875825;0.7681875825;15739.2001953
;IN;1953;p54p100;36100.7633483;53291.8473155;2.26589488983;2.26589488983;23519.1171875;0.7609336376;0.7609336376;15932.2314453
;IN;1953;p55p100;36546.658054;53950.0758506;2.25944638252;2.2594461441;23877.5664062;0.753585875;0.753585875;16175.0507812
;IN;1953;p56p100;37006.9937483;54629.6221332;2.24639296532;2.24639296532;24318.8183594;0.7461206317;0.7461206317;16473.9628906
;IN;1953;p57p100;37481.4408497;55329.9996362;2.23270821571;2.23270821571;24781.5625;0.7385115623;0.7385115623;16787.4335938
;IN;1953;p58p100;37970.6573413;56052.1796722;2.21663784981;2.21663784981;25287.0253906;0.7307519317;0.7307519317;17129.8417969
;IN;1953;p59p100;38475.0639966;56796.7833859;2.19620275497;2.19620251656;25861.359375;0.7228293419;0.7228293419;17518.9042969
;IN;1953;p60p100;38994.6846495;57563.845961;2.17426371574;2.17426371574;26475.0996094;0.7147233486;0.7147233486;17934.6621094
;IN;1953;p61p100;39530.0992486;58354.223516;2.15225052834;2.15225052834;27113.1171875;0.7064234018;0.7064234018;18366.8671875
;IN;1953;p62p100;40082.2192172;59169.2614912;2.13116717339;2.13116717339;27763.78125;0.6979236603;0.6979236603;18807.6367188
;IN;1953;p63p100;40652.2654499;60010.7621682;2.11488628387;2.11488628387;28375.4082031;0.689221859;0.689221859;19221.9628906
;IN;1953;p64p100;41242.5628631;60882.1575819;2.10114622116;2.10114645958;28975.6855469;0.680331707;0.680331707;19628.6015625
;IN;1953;p65p100;41855.1334462;61786.4325876;2.0868909359;2.0868909359;29606.9277344;0.6712577939;0.6712577939;20056.2148438
;IN;1953;p66p100;42491.3839039;62725.663759;2.07858681679;2.07858681679;30177.0722656;0.6619914174;0.6619914174;20442.4394531
;IN;1953;p67p100;43154.7440925;63704.9142403;2.07157492638;2.07157468796;30751.9257812;0.6525518894;0.6525518894;20831.8535156
;IN;1953;p68p100;43847.6457949;64727.7738229;2.0672223568;2.0672223568;31311.4726562;0.6429376006;0.6429376006;21210.9003906
;IN;1953;p69p100;44573.2373982;65798.8901471;2.06634402275;2.06634402275;31843.1425781;0.6331526637;0.6331526637;21571.0625
;IN;1953;p70p100;45335.2995371;66923.8441753;2.06611514091;2.06611514091;32391.1484375;0.6232041121;0.6232041121;21942.2910156
;IN;1953;p71p100;46136.9860284;68107.2915632;2.06967759132;2.06967759132;32907.1992188;0.6130837202;0.6130837202;22291.8710938
;IN;1953;p72p100;46983.0673004;69356.2744042;2.06631851196;2.06631851196;33565.140625;0.6027982235;0.6027982235;22737.5722656
;IN;1953;p73p100;47874.718266;70672.5271011;2.05591106415;2.05591130257;34375.28125;0.5923011303;0.5923011303;23286.375
;IN;1953;p74p100;48813.12449;72057.7997815;2.05536198616;2.05536198616;35058.4492188;0.5815439224;0.5815439224;23749.1621094
;IN;1953;p75p100;49807.335895;73525.4519163;2.04988789558;2.04988789558;35868.0351562;0.5705659986;0.5705659986;24297.5898438
;IN;1953;p76p100;50860.7292734;75080.4683169;2.04097723961;2.04097700119;36786.53125;0.5593277812;0.5593277812;24919.7929688
;IN;1953;p77p100;51977.8512139;76729.5606454;2.03143572807;2.03143572807;37771.0976562;0.5477958322;0.5477958322;25586.7558594
;IN;1953;p78p100;53165.4112252;78482.6334595;2.02652311325;2.02652311325;38727.7265625;0.5359501839;0.5359501839;26234.7929688
;IN;1953;p79p100;54434.475356;80356.0224303;1.99990665913;1.99990665913;40179.8867188;0.5238004923;0.5238004923;27218.5078125
;IN;1953;p80p100;55780.4044684;82342.879275;2.00158882141;2.00158882141;41138.7578125;0.5111922026;0.5111922026;27868.0625
;IN;1953;p81p100;57233.2210153;84487.5230558;1.99551999569;1.9955201149;42338.5976562;0.4982810318;0.4982810318;28680.8554688
;IN;1953;p82p100;58801.6520985;86802.8366961;1.97252142429;1.97252130508;44006.03125;0.4849920273;0.4849920273;29810.4003906
;IN;1953;p83p100;60487.3344593;89291.2363493;1.97733962536;1.97733962536;45157.2578125;0.4711790085;0.4711790085;30590.2597656
;IN;1953;p84p100;62334.3336402;92017.7714475;1.97796189785;1.97796189785;46521.5078125;0.4570038617;0.4570038617;31514.4257812
;IN;1953;p85p100;64364.9792978;95015.4049683;1.95920240879;1.95920228958;48496.984375;0.4423983097;0.4423983097;32852.6445312
;IN;1953;p86p100;66588.1346355;98297.2207479;1.96591377258;1.96591365337;50000.78125;0.42716676;0.42716676;33871.3398438
;IN;1953;p87p100;69071.9293793;101963.7917;1.9699652195;1.96996510029;51759.1875;0.4114504158;0.4114504158;35062.5117188
;IN;1953;p88p100;71865.2634928;106087.303817;1.97530043125;1.97530055046;53706.9179688;0.3951598704;0.3951598704;36381.9414062
;IN;1953;p89p100;75038.4195704;110771.508069;1.96463298798;1.96463310719;56382.796875;0.3782238662;0.3782238662;38194.625
;IN;1953;p91p100;82814.6450041;122250.750613;1.93737959862;1.93737947941;63101.0859375;0.3415247798;0.3415247798;42745.6992188
;IN;1953;p92p100;87679.3975492;129432.084907;1.92636287212;1.92636275291;67189.8828125;0.3214105368;0.3214105368;45515.515625
;IN;1953;p93p100;93502.1610183;138027.632285;1.91868293285;1.91868281364;71938.7421875;0.299910903;0.299910903;48732.4726562
;IN;1953;p94p100;100683.253855;148628.341731;1.90911006927;1.90911018848;77852.15625;0.2768095434;0.2768095434;52738.3164062
;IN;1953;p95p100;109858.255571;162172.453966;1.8985710144;1.8985710144;85418.1640625;0.2516953945;0.2516953945;57863.6523438
;IN;1953;p96p100;122182.879986;180366.030544;1.89838767052;1.89838767052;95010.1171875;0.2239457965;0.2239457965;64361.3945312
;IN;1953;p97p100;140207.77888;206974.336594;1.90655505657;1.90655517578;108559.320312;0.1927373707;0.1927373707;73539.8515625
;IN;1953;p98p100;170718.759626;252014.562243;1.9308385849;1.9308385849;130520.78125;0.1564529687;0.1564529687;88416.8984375
;IN;1953;p0p90;15509.3887053;22894.9168433;;;-2.00514483489e-11;0.6396019161;0.6396019161;-1.35831771178e-11
;IN;1953;p0p99;19592.8282381;28922.8790225;;;-2.00514483489e-11;0.8888017312;0.8888017312;-1.35831771178e-11
;IN;1953;p99.1p100;255650.841324;377391.067067;1.99195885658;1.99195885658;189457.265625;0.1054295376;0.1054295376;128341.429688
;IN;1953;p99.1p99.2;131140.54987;193589.318129;;;189457.265625;0.0060091019;0.0060091019;128341.429688
;IN;1953;p99.2p100;271214.627756;400366.285684;2.02294898033;2.02294921875;197912.1875;0.0994204357;0.0994204357;134068.9375
;IN;1953;p99.2p99.3;137274.267438;202643.895091;;;197912.1875;0.0062901601;0.0062901601;134068.9375
;IN;1953;p99.3p100;290348.964945;428612.341483;2.06437397003;2.06437397003;207623.40625;0.0931302756;0.0931302756;140647.46875
;IN;1953;p99.3p99.4;144390.895239;213149.441428;;;207623.40625;0.0066162571;0.0066162571;140647.46875
;IN;1953;p99.4p100;314675.309895;464522.824825;2.12100219727;2.12100243568;219010.984375;0.0865140185;0.0865140185;148361.609375
;IN;1953;p99.4p99.5;153011.725283;225875.486969;;;219010.984375;0.0070112795;0.0070112795;148361.609375
;IN;1953;p99.5p100;347008.026818;512252.292396;2.19631934166;2.19631934166;233232.15625;0.079502739;0.079502739;157995.25
;IN;1953;p99.5p99.6;163760.649474;241743.019222;;;233232.15625;0.007503815;0.007503815;157995.25
;IN;1953;p99.6p100;392819.871154;579879.61069;2.31020474434;2.31020474434;251007.890625;0.071998924;0.071998924;170036.828125
;IN;1953;p99.6p99.7;177588.383467;262155.482016;;;251007.890625;0.0081374273;0.0081374273;170036.828125
;IN;1953;p99.7p100;464563.700383;685787.653581;2.49746370316;2.49746394157;274593.625;0.0638614967;0.0638614967;186014.1875
;IN;1953;p99.7p99.8;197057.973415;290896.437015;;;274593.625;0.0090295598;0.0090295598;186014.1875
;IN;1953;p99.8p100;598316.563867;883233.261864;2.84994077682;2.84994077682;309912.84375;0.054831937;0.054831937;209940.0
;IN;1953;p99.8p99.9;274441.544813;405129.851746;;;309912.84375;0.0125754178;0.0125754178;209940.0
;IN;1953;p99.91p100;980826.166476;1447892.88256;2.39630317688;2.3963034153;604219.375;0.0404489376;0.0404489376;409308.03125
;IN;1953;p99.91p99.92;420961.99759;621422.940139;;;604219.375;0.0019289255;0.0019289255;409308.03125
;IN;1953;p99.92p100;1050809.18759;1551201.62536;2.42731547356;2.42731523514;639060.625;0.0385200121;0.0385200121;432910.03125
;IN;1953;p99.92p99.93;449307.860423;663267.024696;;;639060.625;0.0020588115;0.0020588115;432910.03125
;IN;1953;p99.93p100;1136737.94861;1678049.42545;2.42214751244;2.42214775085;692794.0;0.0364612006;0.0364612006;469309.9375
;IN;1953;p99.93p99.94;495938.780359;732103.460132;;;692794.0;0.002272483;0.002272483;469309.9375
;IN;1953;p99.94p100;1243537.80999;1835707.08634;2.367654562;2.367654562;775327.25;0.0341887176;0.0341887176;525219.25
;IN;1953;p99.94p99.95;559214.94769;825511.563877;;;775327.25;0.002562426;0.002562426;525219.25
;IN;1953;p99.95p100;1380402.38244;2037746.19083;2.31884360313;2.31884360313;878776.875;0.0316262916;0.0316262916;595297.75
;IN;1953;p99.95p99.96;635816.906269;938591.16392;;;878776.875;0.0029134303;0.0029134303;595297.75
;IN;1953;p99.96p100;1566548.75149;2312534.94756;2.30524468422;2.30524468422;1003162.4375;0.0287128612;0.0287128612;679558.5625
;IN;1953;p99.96p99.97;738528.586578;1090213.86319;;;1003162.4375;0.0033840742;0.0033840742;679558.5625
;IN;1953;p99.97p100;1842555.47312;2719975.30902;2.27181696892;2.2718167305;1197268.75;0.025328787;0.025328787;811049.25
;IN;1953;p99.97p99.98;918363.354879;1355685.4523;;;1197268.75;0.0042081103;0.0042081103;811049.25
;IN;1953;p99.98p100;2304651.53225;3402120.23737;2.19927668571;2.19927668571;1546926.875;0.0211206768;0.0211206768;1047913.4375
;IN;1953;p99.98p99.99;1254906.45271;1852489.44538;;;1546926.875;0.0057502128;0.0057502128;1047913.4375
;IN;1953;p99.991p100;3551193.87596;5242262.60812;2.1812016964;2.18120145798;2403383.0;0.0146450028;0.0146450028;1628090.625
;IN;1953;p99.991p99.992;1678225.72757;2477392.19173;;;2403383.0;0.000768994;0.000768994;1628090.625
;IN;1953;p99.992p100;3785314.89451;5587871.41017;2.18614172935;2.18614149094;2556042.75;0.0138760088;0.0138760088;1731504.875
;IN;1953;p99.992p99.993;1792522.57811;2646116.88735;;;2556042.75;0.0008213669;0.0008213669;1731504.875
;IN;1953;p99.993p100;4069999.51114;6008122.05629;2.19011378288;2.19011378288;2743292.25;0.0130546419;0.0130546419;1858350.625
;IN;1953;p99.993p99.994;1936308.76811;2858373.66458;;;2743292.25;0.0008872524;0.0008872524;1858350.625
;IN;1953;p99.994p100;4425614.63498;6533080.12157;2.18969106674;2.18969106674;2983562.5;0.0121673895;0.0121673895;2021113.75
;IN;1953;p99.994p99.995;2118742.67952;3127682.10157;;;2983562.5;0.000970847;0.000970847;2021113.75
;IN;1953;p99.995p100;4886989.02607;7214159.72557;2.19886732101;2.1988670826;3280853.0;0.0111965425;0.0111965425;2222503.0
;IN;1953;p99.995p99.996;2341466.56102;3456466.48134;;;3280853.0;0.0010729032;0.0010729032;2222503.0
;IN;1953;p99.996p100;5523369.64233;8153583.03663;2.23374915123;2.23374915123;3650178.5;0.0101236394;0.0101236394;2472690.25
;IN;1953;p99.996p99.997;2661166.44732;3928406.572;;;3650178.5;0.0012193955;0.0012193955;2472690.25
;IN;1953;p99.997p100;6477437.37401;9561975.19151;2.23549509048;2.23549485207;4277341.5;0.0089042438;0.0089042438;2897540.5
;IN;1953;p99.997p99.998;3225011.60138;4760753.23375;;;4277341.5;0.0014777598;0.0014777598;2897540.5
;IN;1953;p99.998p100;8103650.26032;11962586.1704;2.23802614212;2.23802614212;5345150.5;0.007426484;0.007426484;3620891.75
;IN;1953;p99.998p99.999;4361432.45314;6438334.5617;;;5345150.5;0.0019984888;0.0019984888;3620891.75
;IN;1953;p99.99p99.991;1583221.23419;2337146.82056;;;2274203.0;0.0007254612;0.0007254612;1540582.0
;IN;1953;p99.9p99.91;394480.330921;582330.77682;;;557376.8125;0.0018075816;0.0018075816;377576.09375
;IN;1953;p99p99.1;125893.483997;185843.613955;;;182373.671875;0.0057686716;0.0057686716;123542.890625
;IN;1952;p0p100;20759.5549777;30656.3341116;-3.01438736322e+16;-3.01438736322e+16;-1.01700050291e-12;1.0;1.0;-6.88682401037e-13
;IN;1952;p0p50;8602.31374695;12703.3264751;;;-1.01700050291e-12;0.2071892619;0.2071892619;-6.88682401037e-13
;IN;1952;p50p90;22409.9755785;33093.5658065;;;21243.7460938;0.4318006933;0.4318006933;14385.6318359
;IN;1952;p90p99;55995.2976504;82690.1422162;;;58403.578125;0.2428620756;0.2428620756;39549.1640625
;IN;1952;p99p100;245269.988175;362198.453344;2.1530714035;2.1530714035;168224.078125;0.118147999;0.118147999;113916.328125
;IN;1952;p99.9p100;972489.94208;1436108.65535;2.4423995018;2.44239926338;587990.9375;0.0468454137;0.0468454137;398169.90625
;IN;1952;p99.99p100;3537353.02123;5223728.36057;2.17735743523;2.17735743523;2399113.75;0.017039638;0.017039638;1624608.375
;IN;1952;p99.999p100;12491967.6152;18447309.3636;2.17697143555;2.17697143555;8473841.0;0.0060174544;0.0060174544;5738232.5
;IN;1952;p0p10;3615.0139719;5338.41290238;;;-1.01700050291e-12;0.0174137354;0.0174137354;-6.88682401037e-13
;IN;1952;p10p20;6587.0555011;9727.32674041;;;7699.54345703;0.0317302346;0.0317302346;5213.90087891
;IN;1952;p20p30;8942.20826079;13205.2601529;;;10869.1054688;0.0430751443;0.0430751443;7360.234375
;IN;1952;p30p40;10681.6230013;15773.9124915;;;14789.296875;0.0514540076;0.0514540076;10014.8701172
;IN;1952;p40p50;13185.6679997;19471.7200883;;;17398.3652344;0.06351614;0.06351614;11781.6542969
;IN;1952;p50p60;15375.657159;22705.7508487;;;21243.7460938;0.0740654469;0.0740654469;14385.6318359
;IN;1952;p60p70;18711.6822414;27632.1714603;;;24701.5058594;0.0901352763;0.0901352763;16727.1230469
;IN;1952;p70p80;23461.8556901;34646.9125994;;;30832.8339844;0.1130171418;0.1130171418;20879.0761719
;IN;1952;p80p90;32090.7072235;47389.4283177;;;39558.109375;0.1545828283;0.1545828283;26787.5722656
;IN;1952;p90p100;74944.078728;110672.445514;1.89495992661;1.89496004581;58403.578125;0.3610100448;0.3610100448;39549.1640625
;IN;1952;p0p1;665.579117685;982.883102812;;;-1.01700050291e-12;0.0003206134;0.0003206134;-6.88682401037e-13
;IN;1952;p1p2;2032.1260178;3000.90894172;;;2004.09936523;0.0009788871;0.0009788871;1357.11633301
;IN;1952;p2p3;3027.83435764;4471.30498714;;;4376.29931641;0.0014585257;0.0014585257;2963.49951172
;IN;1952;p3p4;3483.67995525;5144.46753608;;;5039.4765625;0.0016781092;0.0016781092;3412.58325195
;IN;1952;p4p5;3831.13230001;5657.56211736;;;5547.91259766;0.001845479;0.001845479;3756.88085938
;IN;1952;p5p6;4136.76167735;6108.89531385;;;6002.81201172;0.0019927025;0.0019927025;4064.92529297
;IN;1952;p6p7;4409.84833151;6512.17157485;;;6402.78662109;0.0021242499;0.0021242499;4335.77636719
;IN;1952;p7p8;4633.93529602;6843.08834362;;;6732.07324219;0.0022321939;0.0022321939;4558.75927734
;IN;1952;p8p9;4873.98428065;7197.57676516;;;7089.96289062;0.002347827;0.002347827;4801.11132812
;IN;1952;p9p10;5055.25838502;7465.27034122;;;7374.31689453;0.0024351478;0.0024351478;4993.66748047
;IN;1952;p10p11;5350.24641562;7900.88910253;;;7699.54345703;0.0025772452;0.0025772452;5213.90087891
;IN;1952;p11p12;5731.85005922;8464.41605718;;;8211.29003906;0.002761066;0.002761066;5560.44091797
;IN;1952;p12p13;6160.47360703;9097.37888822;;;8827.20019531;0.0029675364;0.0029675364;5977.51660156
;IN;1952;p13p14;6552.71859737;9676.62027805;;;9455.51855469;0.0031564832;0.0031564832;6402.99560547
;IN;1952;p14p15;6818.62852931;10069.2984316;;;9956.47167969;0.0032845736;0.0032845736;6742.22558594
;IN;1952;p15p16;6908.33755707;10201.7747747;;;10194.2324219;0.0033277869;0.0033277869;6903.22998047
;IN;1952;p16p17;6970.08211549;10292.955044;;;10284.7304688;0.0033575296;0.0033575296;6964.51269531
;IN;1952;p17p18;7031.9504105;10384.3180392;;;10375.3916016;0.003387332;0.003387332;7025.90527344
;IN;1952;p18p19;7105.20247178;10492.4918256;;;10459.3574219;0.0034226179;0.0034226179;7082.76464844
;IN;1952;p19p20;7241.06524762;10693.1249631;;;10596.3310547;0.0034880638;0.0034880638;7175.51953125
;IN;1952;p20p21;7483.34149087;11050.9024525;;;10869.1054688;0.0036047697;0.0036047697;7360.234375
;IN;1952;p21p22;7812.97576666;11537.6844911;;;11296.1318359;0.0037635565;0.0037635565;7649.40332031
;IN;1952;p22p23;8222.6676162;12142.6902456;;;11859.0957031;0.0039609075;0.0039609075;8030.62548828
;IN;1952;p23p24;8635.08167072;12751.7159719;;;12483.3662109;0.0041595697;0.0041595697;8453.36328125
;IN;1952;p24p25;8988.22589862;13273.2159487;;;13059.1279297;0.0043296814;0.0043296814;8843.25195312
;IN;1952;p25p26;9271.08774339;13690.927563;;;13506.5878906;0.0044659376;0.0044659376;9146.2578125
;IN;1952;p26p27;9543.43197801;14093.107468;;;13941.515625;0.0045971274;0.0045971274;9440.77832031
;IN;1952;p27p28;9699.46381802;14323.524942;;;14243.8330078;0.0046722889;0.0046722889;9645.49902344
;IN;1952;p28p29;9825.67513983;14509.9054523;;;14453.8369141;0.0047330856;0.0047330856;9787.70703125
;IN;1952;p29p30;9940.1314856;14678.9269935;;;14623.1367188;0.0047882199;0.0047882199;9902.35253906
;IN;1952;p30p31;10053.7216752;14846.6694528;;;14789.296875;0.004842937;0.004842937;10014.8701172
;IN;1952;p31p32;10171.5189089;15020.6245957;;;14957.0615234;0.0048996806;0.0048996806;10128.4755859
;IN;1952;p32p33;10297.9777039;15207.370558;;;15140.1044922;0.0049605966;0.0049605966;10252.4267578
;IN;1952;p33p34;10395.9770832;15352.0895425;;;15310.6386719;0.0050078034;0.0050078034;10367.9082031
;IN;1952;p34p35;10475.5397106;15469.5823544;;;15424.2597656;0.0050461292;0.0050461292;10444.8486328
;IN;1952;p35p36;10619.3216282;15681.9099553;;;15574.7617188;0.0051153898;0.0051153898;10546.7636719
;IN;1952;p36p37;10820.7647967;15979.3878678;;;15845.1162109;0.0052124262;0.0052124262;10729.8398438
;IN;1952;p37p38;11052.770903;16321.9991;;;16163.7285156;0.0053241849;0.0053241849;10945.5947266
;IN;1952;p38p39;11323.1353522;16721.2553892;;;16544.6054688;0.005454421;0.005454421;11203.5136719
;IN;1952;p39p40;11605.5022506;17138.2360995;;;16949.3574219;0.0055904388;0.0055904388;11477.5986328
;IN;1952;p40p41;11914.719989;17594.8683497;;;17398.3652344;0.0057393909;0.0057393909;11781.6542969
;IN;1952;p41p42;12224.9276202;18052.9624078;;;17853.3300781;0.0058888197;0.0058888197;12089.7431641
;IN;1952;p42p43;12528.5772121;18501.3719885;;;18303.0292969;0.0060350895;0.0060350895;12394.265625
;IN;1952;p43p44;12847.322668;18972.07414;;;18781.4394531;0.0061886311;0.0061886311;12718.2304688
;IN;1952;p44p45;13126.7198882;19384.6694265;;;19219.2382812;0.0063232183;0.0063232183;13014.6943359
;IN;1952;p45p46;13390.0313518;19773.5103342;;;19616.2421875;0.006450057;0.006450057;13283.5332031
;IN;1952;p46p47;13640.7216831;20143.7131909;;;19995.6933594;0.006570816;0.006570816;13540.4873047
;IN;1952;p47p48;13849.9602569;20452.7028408;;;20314.8730469;0.0066716075;0.0066716075;13756.6269531
;IN;1952;p48p49;14068.9740212;20776.127844;;;20648.0976562;0.0067771077;0.0067771077;13982.2763672
;IN;1952;p49p50;14264.7253066;21065.2003609;;;20943.7949219;0.0068714023;0.0068714023;14182.5126953
;IN;1952;p50p51;14465.0548458;21361.0337395;;;21243.7460938;0.0069679022;0.0069679022;14385.6318359
;IN;1952;p51p52;14659.3212921;21647.9135446;;;21554.4296875;0.0070614815;0.0070614815;14596.0166016
;IN;1952;p52p53;14811.764771;21873.0319649;;;21794.8691406;0.0071349144;0.0071349144;14758.8349609
;IN;1952;p53p54;15002.1953831;22154.2472642;;;22070.2539062;0.0072266459;0.0072266459;14945.3183594
;IN;1952;p54p55;15168.9923064;22400.5618994;;;22268.5253906;0.007306993;0.007306993;15079.5810547
;IN;1952;p55p56;15385.9025487;22720.8805607;;;22579.7714844;0.0074114799;0.0074114799;15290.3476562
;IN;1952;p56p57;15644.759495;23103.1433328;;;22949.7167969;0.0075361729;0.0075361729;15540.8632812
;IN;1952;p57p58;15907.6997488;23491.4360626;;;23323.5742188;0.0076628327;0.0076628327;15794.0283203
;IN;1952;p58p59;16191.5514863;23910.6094848;;;23725.7324219;0.0077995658;0.0077995658;16066.3583984
;IN;1952;p59p60;16519.3297132;24394.6506335;;;24190.6308594;0.0079574585;0.0079574585;16381.1738281
;IN;1952;p60p61;16877.7946145;24924.007828;;;24701.5058594;0.0081301332;0.0081301332;16727.1230469
;IN;1952;p61p62;17262.4916729;25492.1029324;;;25252.8359375;0.008315444;0.008315444;17100.46875
;IN;1952;p62p63;17667.7290052;26090.5305512;;;25838.8476562;0.0085106492;0.0085106492;17497.296875
;IN;1952;p63p64;18063.0674102;26674.3400908;;;26413.6542969;0.008701086;0.008701086;17886.5390625
;IN;1952;p64p65;18466.2012205;27269.6613678;;;27004.0996094;0.008895278;0.008895278;18286.3710938
;IN;1952;p65p66;18904.8474321;27917.4250041;;;27649.5722656;0.0091065764;0.0091065764;18723.4648438
;IN;1952;p66p67;19320.1074282;28530.6534281;;;28262.8789062;0.0093066096;0.0093066096;19138.7773438
;IN;1952;p67p68;19752.0718639;29168.5498609;;;28902.9277344;0.0095146894;0.0095146894;19572.2011719
;IN;1952;p68p69;20187.5009242;29811.5626214;;;29547.4765625;0.0097244382;0.0097244382;20008.6699219
;IN;1952;p69p70;20615.0108427;30442.8809186;;;30179.8867188;0.0099303722;0.0099303722;20436.9179688
;IN;1952;p70p71;21057.9878349;31097.0399645;;;30832.8339844;0.0101437569;0.0101437569;20879.0761719
;IN;1952;p71p72;21474.7326701;31712.4611004;;;31444.4960938;0.0103445053;0.0103445053;21293.2734375
;IN;1952;p72p73;21970.1739765;32444.0959663;;;32167.7441406;0.0105831623;0.0105831623;21783.0371094
;IN;1952;p73p74;22549.508691;33299.6190538;;;33009.5585938;0.0108622313;0.0108622313;22353.0878906
;IN;1952;p74p75;23030.3490798;34009.6922528;;;33703.953125;0.0110938549;0.0110938549;22823.3105469
;IN;1952;p75p76;23580.9769053;34822.8229105;;;34498.0234375;0.0113590956;0.0113590956;23361.0332031
;IN;1952;p76p77;24192.9780795;35726.5856594;;;35380.4296875;0.0116539001;0.0116539001;23958.5722656
;IN;1952;p77p78;24843.4613332;36687.1761914;;;36317.0859375;0.0119672418;0.0119672418;24592.8476562
;IN;1952;p78p79;25476.126518;37621.4541807;;;37226.0078125;0.0122720003;0.0122720003;25208.3398438
;IN;1952;p79p80;26442.2618128;39048.1787144;;;38619.7734375;0.0127373934;0.0127373934;26152.1582031
;IN;1952;p80p81;27097.8182667;40016.261012;;;39558.109375;0.0130531788;0.0130531788;26787.5722656
;IN;1952;p81p82;27933.1639859;41249.8441737;;;40756.984375;0.0134555697;0.0134555697;27599.4140625
;IN;1952;p82p83;29104.6401519;42979.8024886;;;42444.8515625;0.0140198767;0.0140198767;28742.3867188
;IN;1952;p83p84;29966.5273696;44252.5803754;;;43680.15625;0.0144350529;0.0144350529;29578.8984375
;IN;1952;p84p85;31001.8314182;45781.4487377;;;45167.375;0.0149337649;0.0149337649;30585.9980469
;IN;1952;p85p86;32474.7299175;47956.5275655;;;47289.6015625;0.0156432688;0.0156432688;32023.1074219
;IN;1952;p86p87;33650.7843373;49693.246742;;;48974.3359375;0.0162097812;0.0162097812;33163.9570312
;IN;1952;p87p88;34991.4702901;51673.0828489;;;50892.9882812;0.0168555975;0.0168555975;34463.2148438
;IN;1952;p88p89;36421.6796657;53785.1212099;;;52933.296875;0.0175445378;0.0175445378;35844.8515625
;IN;1952;p89p90;38264.4268325;56506.3680232;;;55562.9257812;0.0184322;0.0184322;37625.5546875
;IN;1952;p90p91;40274.9608154;59475.3912796;;;58403.578125;0.019400686;0.019400686;39549.1640625
;IN;1952;p91p92;42470.4810003;62717.5898917;;;61448.5625;0.020458281;0.020458281;41611.1328125
;IN;1952;p92p93;44739.1913782;66067.8709272;;;64592.9609375;0.0215511322;0.0215511322;43740.4257812
