Variable Code;country;year;perc;afiinc992j;aptinc992j;aptkin992j;aptlin992j;bfiinc992j;bptinc992j;bptkin992j;bptlin992j;tptlin992j;sfiinc992j;sptinc992j;sptkin992j;sptlin992j;tfiinc992j;tptinc992j;tptkin992j
;TH;2014;p98p100;2295988.92719;2839441.63505;;;2.2789595127;2.3534581661;;;;0.2538641167;0.2707342195;;;1007472.4375;1206497.625;
;TH;2014;p0p90;100235.614433;111376.358941;;;;;;;;0.4987306968;0.4778765676;;;0.0;0.0;
;TH;2014;p0p99;148497.771034;169140.992955;;;;;;;;0.8127494101;0.7982966018;;;0.0;0.0;
;TH;2014;p99.1p100;3594078.73968;4496427.46786;;;2.2949910164;2.3724319935;;;;0.1788263986;0.1929258009;;;1566053.5;1895281.875;
;TH;2014;p99.1p99.2;1612249.91244;1956773.48357;;;;;;;;0.008913205;0.0093286922;;;1566053.5;1895281.875;
;TH;2014;p99.2p100;3841807.34682;4813884.20638;;;2.3132002354;2.3851177692;;;;0.1699131938;0.1835971083;;;1660819.25;2018300.5;
;TH;2014;p99.2p99.3;1715354.26131;2088979.16214;;;;;;;;0.0094832098;0.0099589676;;;1660819.25;2018300.5;
;TH;2014;p99.3p100;4145586.35316;5203156.34671;;;2.3372981548;2.403850317;;;;0.1604299837;0.1736381404;;;1773666.0;2164509.25;
;TH;2014;p99.3p99.4;1841962.41528;2251630.98488;;;;;;;;0.0101831537;0.0107343914;;;1773666.0;2164509.25;
;TH;2014;p99.4p100;4529523.66793;5695077.24829;;;2.3629591465;2.4264178276;;;;0.1502468298;0.1629037493;;;1916886.125;2347113.25;
;TH;2014;p99.4p99.5;2010397.84448;2462225.15055;;;;;;;;0.0111143366;0.0117383748;;;1916886.125;2347113.25;
;TH;2014;p99.5p100;5033348.84718;6341647.68677;;;2.3776466846;2.448081255;;;;0.1391324936;0.1511653749;;;2116945.75;2590456.25;
;TH;2014;p99.5p99.6;2258833.40625;2754516.49583;;;;;;;;0.0124877943;0.0131318402;;;2116945.75;2590456.25;
;TH;2014;p99.6p100;5726977.69666;7238430.49287;;;2.3634402752;2.4579184055;;;;0.1266446991;0.1380335349;;;2423153.25;2944943.5;
;TH;2014;p99.6p99.7;2646048.07051;3205161.70413;;;;;;;;0.0146284821;0.0152802393;;;2423153.25;2944943.5;
;TH;2014;p99.7p100;6753954.24491;8582853.40042;;;2.3227996826;2.4447054863;;;;0.1120162172;0.1227532953;;;2907678.25;3510792.5;
;TH;2014;p99.7p99.8;3281741.7594;3961028.66787;;;;;;;;0.0181428678;0.018883748;;;2907678.25;3510792.5;
;TH;2014;p99.8p100;8490060.47426;10893765.7993;;;2.2692670822;2.4117493629;;;;0.0938733492;0.1038695476;;;3741322.75;4516956.0;
;TH;2014;p99.8p99.9;4532877.46588;5472510.98077;;;;;;;;0.0250596795;0.0260895658;;;3741322.75;4516956.0;
;TH;2014;p99.91p100;13186704.4998;17348405.3657;;;2.2125184536;2.4014787674;;;;0.0656115529;0.0744358721;;;5960042.5;7224051.0;
;TH;2014;p99.91p99.92;6146480.20196;7457567.66094;;;;;;;;0.0033980364;0.0035553095;;;5960042.5;7224051.0;
;TH;2014;p99.92p100;14066732.5475;18584760.0713;;;2.2172970772;2.4108054638;;;;0.0622135166;0.0708805626;;;6344090.0;7708942.0;
;TH;2014;p99.92p99.93;6568040.88608;7985837.1357;;;;;;;;0.0036310931;0.0038071559;;;6344090.0;7708942.0;
;TH;2014;p99.93p100;15137974.1889;20098891.9311;;;2.2238416672;2.4265143871;;;;0.0585824235;0.0670734067;;;6807127.5;8283030.5;
;TH;2014;p99.93p99.94;7081695.24361;8625307.35639;;;;;;;;0.0039150631;0.0041120159;;;6807127.5;8283030.5;
;TH;2014;p99.94p100;16480687.3956;22011155.9512;;;2.2339816093;2.4454927444;;;;0.0546673605;0.0629613906;;;7377271.0;9000704.0;
;TH;2014;p99.94p99.95;7724724.89053;9438508.84102;;;;;;;;0.0042705573;0.0044997004;;;7377271.0;9000704.0;
;TH;2014;p99.95p100;18231879.8737;24525685.3871;;;2.2495167255;2.4718616009;;;;0.0503968032;0.0584616902;;;8104798.5;9921949.0;
;TH;2014;p99.95p99.96;8571453.00233;10520208.2706;;;;;;;;0.0047386647;0.0050153881;;;8104798.5;9921949.0;
;TH;2014;p99.96p100;20646986.5577;28027054.7369;;;2.2702977657;2.5051243305;;;;0.0456581384;0.0534463022;;;9094396.0;11187890.0;
;TH;2014;p99.96p99.97;9773956.63211;12076494.191;;;;;;;;0.00540346;0.0057573295;;;9094396.0;11187890.0;
;TH;2014;p99.97p100;24271329.8388;33343908.2379;;;2.2960143089;2.5419385433;;;;0.0402546783;0.0476889727;;;10571071.0;13117512.0;
;TH;2014;p99.97p99.98;11767078.3266;14645189.8117;;;;;;;;0.0065053427;0.0069819256;;;10571071.0;13117512.0;
;TH;2014;p99.98p100;30523455.6754;42693267.2977;;;2.2981672287;2.5749874115;;;;0.0337493357;0.040707047;;;13281651.0;16579991.0;
;TH;2014;p99.98p99.99;16001134.9835;20072913.5947;;;;;;;;0.0088461097;0.0095695304;;;13281651.0;16579991.0;
;TH;2014;p99.991p100;47771228.0261;69691522.0401;;;2.2576332092;2.6045176983;;;;0.0237689747;0.0299021674;;;21159872.0;26757938.0;
;TH;2014;p99.991p99.992;21880989.4902;27711784.3989;;;;;;;;0.0012096744;0.0013211274;;;21159872.0;26757938.0;
;TH;2014;p99.992p100;51007507.7695;74938989.2018;;;2.2522788048;2.6085288525;;;;0.0225593003;0.02858104;;;22647066.0;28728450.0;
;TH;2014;p99.992p99.993;23518450.6411;29893039.0039;;;;;;;;0.0013002002;0.0014251162;;;22647066.0;28728450.0;
;TH;2014;p99.993p100;54934516.004;81374125.102;;;2.2466561794;2.6127548218;;;;0.0212591001;0.0271559239;;;24451678.0;31144954.0;
;TH;2014;p99.993p99.994;25533063.7092;32607360.4632;;;;;;;;0.0014115766;0.0015545184;;;24451678.0;31144954.0;
;TH;2014;p99.994p100;59834758.0326;89501919.3399;;;2.2407062054;2.61723876;;;;0.0198475234;0.0256014055;;;26703526.0;34197080.0;
;TH;2014;p99.994p99.995;28093910.5916;36103376.8872;;;;;;;;0.0015531512;0.0017211869;;;26703526.0;34197080.0;
;TH;2014;p99.995p100;66182927.4223;100181627.623;;;2.2343430519;2.6220414639;;;;0.0182943722;0.0238802186;;;29620754.0;38207492.0;
;TH;2014;p99.995p99.996;31499055.119;40825511.2982;;;;;;;;0.0017414021;0.0019463092;;;29620754.0;38207492.0;
;TH;2014;p99.996p100;74853895.5517;115020656.521;;;2.2274367809;2.6272540092;;;;0.0165529701;0.0219339093;;;33605396.0;43779800.0;
;TH;2014;p99.996p99.997;36337831.7755;47667471.5867;;;;;;;;0.0020089103;0.0022724918;;;33605396.0;43779800.0;
;TH;2014;p99.997p100;87692583.0869;137471717.731;;;2.2197694778;2.6330254078;;;;0.0145440598;0.0196614174;;;39505264.0;52210556.0;
;TH;2014;p99.997p99.998;44003774.8322;58789372.7292;;;;;;;;0.0024327163;0.0028027156;;;39505264.0;52210556.0;
;TH;2014;p99.998p100;109536986.26;176812889.116;;;2.2109208107;2.6396350861;;;;0.0121113434;0.0168587017;;;49543604.0;66983836.0;
;TH;2014;p99.998p99.999;59092593.2157;81550391.4205;;;;;;;;0.0032668905;0.003887821;;;49543604.0;66983836.0;
;TH;2014;p99.99p99.991;20516712.6307;25912505.8116;;;;;;;;0.0011342514;0.0012353489;;;19907424.0;25113960.0;
;TH;2014;p99.9p99.91;5792093.22128;7014559.48224;;;;;;;;0.0032021161;0.0033441104;;;5631883.0;6813800.0;
;TH;2014;p99p99.1;1523795.57974;1841176.51541;;;;;;;;0.0084241917;0.008777597;;;1483249.0;1791483.0;
;TH;2013;p0p100;182080.212825;207294.237941;90058.6815559;118136.235175;-4.766954567e+16;;;;0.0;1.0;1.0;1.0;1.0;0.0;0.0;0.0
;TH;2013;p0p50;55070.2328339;55643.8133675;14019.3261415;39630.4959985;;;;;0.0;0.151225199;0.1342145684;0.0778343959;0.1677321778;0.0;0.0;0.0
;TH;2013;p50p90;163952.291701;183101.479679;61946.3038414;118432.069787;;;;;71176.0703125;0.3601759668;0.3533170656;0.2751375115;0.4010016727;97794.5703125;102431.679688;26765.8457031
;TH;2013;p90p99;616140.172136;721101.693194;329871.484901;400058.487007;;;;;222168.0;0.3045504689;0.3130774498;0.3296565413;0.3047774732;330931.09375;384252.59375;144561.953125
;TH;2013;p99p100;3351156.76862;4133258.48882;2858206.15755;1494289.9217;2.304192543;2.3577206135;2.6868948936;1.9996604919;747271.8125;0.1840483779;0.1993908989;0.3173715302;0.126488702;1454373.625;1753073.875;1063758.125
;TH;2013;p99.9p100;12583670.9023;15259230.4501;11999450.9185;4348751.38177;2.2726399899;2.1773586273;2.6446626186;1.5416597128;2820824.5;0.06911059;0.0736114536;0.1332403568;0.0368113253;5537028.0;7008138.5;4537233.0
;TH;2013;p99.99p100;47429097.8805;56534044.374;54764463.1505;7692012.95421;2.3872284889;2.4538455009;2.9442749023;1.3014975786;5910124.5;0.0260484635;0.0272723665;0.0608097545;0.0065111376;19867850.0;23038958.0;18600322.0
;TH;2013;p99.999p100;178262472.704;225673722.305;245062379.116;13112561.8166;2.3315448761;2.542794466;2.8166162968;1.3014763594;10075144.0;0.0097903265;0.0108866375;0.0272114109;0.0011099526;76456808.0;88750280.0;87005952.0
;TH;2013;p0p10;20253.7120947;18642.2501097;3683.47534768;14235.5829087;;;;;0.0;0.0111235108;0.0089931347;0.0040900836;0.012050141;0.0;0.0;0.0
;TH;2013;p10p20;40095.1032695;39262.1719896;9522.21982453;28308.1463361;;;;;22207.8867188;0.0220205714;0.0189403103;0.0105733502;0.0239622892;31580.2675781;29339.6445312;5745.93115234
;TH;2013;p20p30;55644.8158876;56024.4107005;14330.1299415;39803.7415348;;;;;34157.5859375;0.0305606057;0.0270265162;0.0159119917;0.0336930845;48206.4414062;47996.25;11983.8183594
;TH;2013;p30p40;71022.4056465;72783.3652568;19228.4838817;51345.3633188;;;;;45058.8789062;0.0390061087;0.0351111377;0.0213510608;0.0434628404;63174.0976562;64149.3632812;16933.2832031
;TH;2013;p40p50;88335.127271;91506.8687807;23332.3217122;64459.6458942;;;;;56723.9609375;0.0485144025;0.0441434695;0.0259079095;0.0545638227;79269.421875;81559.453125;21099.2089844
;TH;2013;p50p60;108218.746539;114618.439104;32534.588283;80095.753887;;;;;71176.0703125;0.0594346551;0.0552926315;0.0361259878;0.0677994806;97794.5703125;102431.679688;26765.8457031
;TH;2013;p60p70;133108.239618;144766.518467;45781.2291786;97245.252762;;;;;86113.65625;0.0731041762;0.0698362482;0.0508348872;0.0823161942;119222.890625;127885.8125;37054.9335938
;TH;2013;p70p80;167835.072006;188182.734759;64009.8494314;123117.886542;;;;;109138.148438;0.0921764476;0.0907804947;0.0710757123;0.1042168699;148568.75;163444.3125;53167.4648438
;TH;2013;p80p90;246647.108643;284838.226383;105459.548472;173269.385958;;;;;141899.703125;0.1354606878;0.1374076912;0.1171009243;0.146669128;191777.25;219869.53125;75539.6328125
;TH;2013;p90p100;889641.796245;1062317.39078;582704.96733;509481.59122;2.6882991791;2.7646329403;4.0308322906;2.2932267189;222168.0;0.4885988357;0.5124683636;0.6470280902;0.4312661528;330931.09375;384252.59375;144561.953125
;TH;2013;p0p1;5588.1892065;4973.62541584;1014.69759403;3920.56579185;;;;;0.0;0.0003069081;0.0002399307;0.0001126707;0.0003318682;0.0;0.0;0.0
;TH;2013;p1p2;10880.0496189;9832.50873616;1977.01371397;7639.58536848;;;;;6116.18652344;0.0005975416;0.0004743262;0.0002195251;0.0006466759;8713.29199219;7827.6171875;1582.84814453
;TH;2013;p2p3;14521.2597855;13220.9905243;2639.58213051;10200.432623;;;;;9017.07128906;0.0007975199;0.0006377886;0.0002930958;0.0008634466;12838.9150391;11651.1337891;2333.41674805
;TH;2013;p3p4;17541.9458244;16049.6987983;3189.40007213;12325.5924626;;;;;11315.6962891;0.0009634186;0.0007742472;0.0003541469;0.0010433372;16106.6220703;14703.265625;2928.12451172
;TH;2013;p4p5;20195.7406203;18545.5778325;3672.53581457;14193.0696311;;;;;13293.8349609;0.0011091672;0.0008946499;0.0004077936;0.0012014154;18917.9648438;17342.3046875;3439.89648438
;TH;2013;p5p6;22598.0116255;20812.3865433;4109.94834285;15883.8513289;;;;;15063.3808594;0.001241102;0.0010040022;0.0004563634;0.0013445368;21432.3476562;19711.34375;3897.69042969
;TH;2013;p6p7;24813.3257385;22908.4102881;4513.3702747;17443.2780107;;;;;16682.6894531;0.0013627689;0.0011051156;0.0005011588;0.0014765392;23732.8847656;21885.2949219;4316.60791016
;TH;2013;p7p8;26882.3047491;24870.4181324;4890.18432899;18899.8731243;;;;;18186.8730469;0.001476399;0.0011997641;0.0005429998;0.0015998371;25869.5839844;23909.3730469;4705.73583984
;TH;2013;p8p9;28832.5279785;26723.4400201;5245.40248249;20273.0089596;;;;;19599.0527344;0.0015835069;0.001289155;0.0005824427;0.0017160703;27875.359375;25813.4121094;5071.05664062
;TH;2013;p9p10;30683.7658003;28485.4448065;5582.61872253;21576.5717869;;;;;20935.4277344;0.0016851785;0.0013741552;0.0006198868;0.0018264144;29773.2792969;27618.3691406;5416.76269531
;TH;2013;p10p11;32431.5541416;30386.5356741;6207.6338769;22826.2219971;;;;;22207.8867188;0.0017811685;0.0014658649;0.0006892877;0.0019321948;31580.2675781;29339.6445312;5745.93115234
;TH;2013;p11p12;34154.5844727;32496.700903;7128.94749498;24074.9507652;;;;;23448.3320312;0.0018757988;0.0015676606;0.0007915891;0.0020378972;33288.7421875;31439.3164062;6670.48583984
;TH;2013;p12p13;35894.5702253;34600.7461996;8018.77388397;25328.9042477;;;;;24702.390625;0.0019713603;0.001669161;0.0008903943;0.0021440419;35023.2265625;33552.96875;7582.05712891
;TH;2013;p13p14;37634.562337;36662.5239034;8844.5144885;26573.4040089;;;;;25953.78125;0.0020669221;0.0017686224;0.0009820835;0.0022493864;36765.8828125;35641.3632812;8444.68164062
;TH;2013;p14p15;39359.6402912;38652.9667488;9581.28503517;27797.4174981;;;;;27189.5390625;0.0021616649;0.0018646426;0.0010638935;0.0023529967;38500.7109375;37671.6523438;9229.36328125
;TH;2013;p15p16;41057.4208433;40551.5985427;10213.53744;28994.2883274;;;;;28400.6875;0.0022549084;0.0019562338;0.001134098;0.0024543095;40213.96875;39618.8085938;9915.6015625
;TH;2013;p16p17;42718.6112608;42348.2234196;10736.8861577;30162.5284364;;;;;29583.015625;0.0023461424;0.002042904;0.00119221;0.0025531987;41894.71875;41467.1875;10493.1035156
;TH;2013;p17p18;44337.5943581;44044.8105693;11160.1788135;31306.7477865;;;;;30737.9199219;0.0024350584;0.0021247484;0.0012392119;0.0026500546;43535.3945312;43212.34375;10963.734375
;TH;2013;p18p19;45913.1703891;45657.683029;11507.8478113;32438.6775738;;;;;31873.390625;0.0025215903;0.0022025544;0.0012778166;0.0027458703;45132.4726562;44863.046875;11343.7158203
;TH;2013;p19p20;47449.3243761;47219.9309062;11822.5932432;33578.32272;;;;;33005.0898438;0.0026059572;0.0022779182;0.0013127655;0.002842339;46687.1992188;46443.5625;11666.1376953
;TH;2013;p20p21;48955.7136388;48780.3978251;12163.9905864;34751.7146533;;;;;34157.5859375;0.0026886894;0.002353196;0.0013506738;0.0029416643;48206.4414062;47996.25;11983.8183594
;TH;2013;p21p22;50443.3436215;50365.967085;12563.7346572;35956.001029;;;;;35351.4648438;0.0027703913;0.0024296849;0.0013950609;0.0030436048;49701.9140625;49569.2734375;12354.5488281
;TH;2013;p22p23;51920.5531951;51970.4753153;13013.0753338;37157.4405609;;;;;36559.9335938;0.0028515209;0.0025070873;0.0014449551;0.0031453043;51183.0507812;51165.796875;12781.1777344
;TH;2013;p23p24;53394.5874691;53585.7706504;13499.8268183;38326.5883592;;;;;37749.40625;0.0029324761;0.0025850101;0.0014990034;0.0032442703;52657.5429688;52776.9257812;13251.1943359
;TH;2013;p24p25;54871.6571429;55205.4242655;14012.632614;39443.5055161;;;;;38894.875;0.003013598;0.0026631432;0.0015559447;0.0033388152;54132.1601562;54395.3085938;13752.7822266
;TH;2013;p25p26;56356.6587067;56825.1599301;14541.2769065;40499.7560223;;;;;39981.796875;0.0030951556;0.0027412802;0.0016146447;0.0034282247;55612.5039062;56015.515625;14275.0986328
;TH;2013;p26p27;57852.8692053;58443.2787356;15077.0368325;41500.7089975;;;;;41008.2265625;0.0031773287;0.0028193393;0.0016741347;0.0035129534;57102.7148438;57634.4804688;14808.609375
;TH;2013;p27p28;59361.5986087;60061.2527477;15613.1039458;42468.1517349;;;;;41987.28125;0.0032601894;0.0028973913;0.001733659;0.0035948455;58605.1484375;59251.9921875;15345.4746094
;TH;2013;p28p29;60881.7616343;61684.2897007;16145.0801203;43443.3043301;;;;;42949.9257812;0.0033436781;0.0029756876;0.0017927289;0.0036773903;60119.9960938;60871.28125;15880.0019531
;TH;2013;p29p30;62409.4156537;63322.0907493;16671.5416001;44490.2441448;;;;;43948.1992188;0.0034275781;0.0030546961;0.0018511865;0.0037660117;61644.828125;62499.671875;16409.1777344
;TH;2013;p30p31;63938.05745;64988.261642;17193.9876273;45689.9040557;;;;;45058.8789062;0.0035115324;0.0031350732;0.0019091982;0.0038675605;63174.0976562;64149.3632812;16933.2832031
;TH;2013;p31p32;65466.8773004;66686.6152706;17709.7751325;47041.8384698;;;;;46347.7070312;0.0035954965;0.0032170028;0.0019664706;0.0039819991;64701.921875;65832.71875;17453.6757812
;TH;2013;p32p33;67002.6158276;68408.5316041;18210.5031179;48455.2757089;;;;;47745.96875;0.0036798406;0.0033000691;0.0020220708;0.0041016438;66232.9921875;67544.4140625;17963.34375
;TH;2013;p33p34;68552.2425811;70145.352;18688.4656888;49845.2780612;;;;;49160.3515625;0.0037649474;0.0033838544;0.0020751432;0.0042193048;67774.5703125;69275.109375;18453.8398438
;TH;2013;p34p35;70121.9640211;71890.0395014;19137.718298;51146.6954413;;;;;50515.0273438;0.0038511578;0.0034680192;0.0021250276;0.0043294672;69333.28125;71016.875;18918.2675781
;TH;2013;p35p36;71717.0030701;73637.6373492;19554.5830844;52319.3144634;;;;;51756.3867188;0.0039387587;0.0035523244;0.0021713157;0.0044287271;70914.890625;72763.640625;19351.7246094
;TH;2013;p36p37;73341.2896384;75385.8191968;19938.2171176;53353.8106833;;;;;52858.5898438;0.0040279659;0.0036366577;0.0022139139;0.0045162952;72524.015625;74511.671875;19751.84375
;TH;2013;p37p38;74997.134191;77135.5262011;20291.3148395;54278.7460568;;;;;53830.0;0.0041189063;0.0037210647;0.0022531215;0.0045945891;74163.8515625;76260.15625;20119.4296875
;TH;2013;p38p39;76684.7995698;78891.6958153;20620.9111555;55168.7381437;;;;;54720.7421875;0.0042115944;0.0038057833;0.0022897194;0.0046699252;75835.7578125;78011.890625;20459.1953125
;TH;2013;p39p40;78402.0728156;80664.1739875;20939.3627557;56154.0321036;;;;;55631.5117188;0.0043059085;0.0038912888;0.0023250799;0.0047533284;77538.8359375;79774.1171875;20780.6640625
;TH;2013;p40p41;80144.0362414;82468.0674908;21264.4215054;57412.5680417;;;;;56723.9609375;0.0044015786;0.0039783097;0.002361174;0.004859861;79269.421875;81559.453125;21099.2089844
;TH;2013;p41p42;81907.0015822;84317.1654787;21608.9913706;58980.5490073;;;;;58155.5234375;0.0044984021;0.0040675113;0.0023994346;0.0049925875;81022.0859375;83384.3125;21433.0117188
;TH;2013;p42p43;83690.4940266;86219.7018666;21978.2578418;60719.7146694;;;;;59833.8085938;0.004596353;0.0041592908;0.0024404374;0.0051398044;82795.328125;85258.9453125;21789.0507812
;TH;2013;p43p44;85494.61532;88182.0668677;22378.7253232;62492.1457683;;;;;61610.7460938;0.0046954369;0.0042539565;0.0024849048;0.0052898373;84589.09375;87190.46875;22172.6191406
;TH;2013;p44p45;87319.7554857;90208.8552579;22819.6786314;64185.1403025;;;;;63359.75;0.0047956752;0.00435173;0.0025338677;0.0054331459;86403.6328125;89184.4453125;22591.5214844
;TH;2013;p45p46;89166.6945708;92302.3644248;23313.7889832;65719.5862751;;;;;64983.3828125;0.0048971106;0.0044527221;0.0025887331;0.0055630337;88239.5078125;91244.4375;23056.625
;TH;2013;p46p47;91036.6704756;94461.9283193;23877.8499868;67060.0507975;;;;;66422.5390625;0.0049998113;0.0045569008;0.0026513657;0.0056765014;90097.7109375;93371.3671875;23582.5273438
;TH;2013;p47p48;92931.506136;96683.1452232;24533.6415408;68226.8386037;;;;;67667.453125;0.0051038773;0.0046640537;0.002724184;0.0057752677;91979.7578125;95562.84375;24188.359375
;TH;2013;p48p49;94853.745183;98956.9414199;25308.9677712;69310.5040767;;;;;68770.9140625;0.0052094483;0.004773743;0.0028102752;0.0058669979;93887.8125;97812.3046875;24898.7246094
;TH;2013;p49p50;96806.7536886;101268.451458;26238.8941681;70489.3613996;;;;;69864.15625;0.0053167092;0.0048852516;0.002913533;0.0059667858;95824.7890625;100107.984375;25744.8339844
;TH;2013;p50p51;98794.4573236;103597.433228;27360.29999;72022.1845339;;;;;71176.0703125;0.0054258755;0.0049976031;0.0030380525;0.0060965363;97794.5703125;102431.679688;26765.8457031
;TH;2013;p51p52;100816.237138;105936.116153;28643.5946015;73968.9194797;;;;;72941.453125;0.0055369134;0.0051104226;0.0031805479;0.0062613236;99800.1015625;104764.53125;27982.7792969
;TH;2013;p52p53;102866.921081;108294.017981;29991.232909;76130.4522165;;;;;75031.875;0.0056495387;0.0052241692;0.0033301879;0.0064442931;101837.171875;107110.898438;29314.9707031
;TH;2013;p53p54;104942.303683;110683.069687;31308.9975075;78300.308189;;;;;77229.9296875;0.0057635205;0.0053394185;0.0034765108;0.0066279671;103900.757812;109482.320312;30662.25
;TH;2013;p54p55;107040.163506;113115.897249;32518.971842;80301.5154938;;;;;79341.875;0.0058787367;0.0054567796;0.0036108647;0.0067973654;105987.546875;111891.101562;31937.3828125
;TH;2013;p55p56;109161.034713;115605.802351;33567.4536901;82000.1211981;;;;;81209.7421875;0.0059952168;0.0055768942;0.0037272868;0.006941149;108096.5625;114350.203125;33073.078125
;TH;2013;p56p57;111309.029507;118166.588625;34435.053553;83322.0523557;;;;;82726.390625;0.0061131865;0.005700428;0.003823624;0.0070530479;110229.953125;116873.21875;34030.90625
;TH;2013;p57p58;113492.999724;120812.397556;35149.5231358;84274.196403;;;;;83854.3125;0.006233132;0.0058280635;0.0039029578;0.007133645;112394.007812;119474.140625;34812.6328125
;TH;2013;p58p59;115727.876481;123557.428545;35802.1358772;84970.8121658;;;;;84649.1640625;0.0063558733;0.0059604854;0.0039754231;0.0071926122;114600.351562;122167.195312;35474.7070312
;TH;2013;p59p60;118036.442233;126415.639671;36568.6197245;85666.9768346;;;;;85289.359375;0.0064826617;0.0060983673;0.0040605324;0.0072515411;116867.523438;124966.539062;36146.703125
;TH;2013;p60p61;120449.229033;129399.454204;37709.8260262;86764.8627729;;;;;86113.65625;0.006615174;0.0062423083;0.0041872505;0.007344475;119222.890625;127885.8125;37054.9335938
;TH;2013;p61p62;122982.728091;132512.028639;39319.4626547;88465.2783546;;;;;87521.8515625;0.0067543159;0.0063924608;0.0043659825;0.0074884119;121696.03125;130934.679688;38446.7539062
