Sources;.;.;.;http://wid.world/wp-content/uploads/2018/03/WID_WORKING_PAPER_2018_5_Novokmet_Czech_Republic.pdf/ (Novokmet, Filip (2018).The long-run evolution of inequality in the Czech Lands: Top income shares, 1898-2015);Series constructed by Filip Novokmet, work-in-progress.;Series constructed by Filip Novokmet, work-in-progress.;Series constructed by Filip Novokmet, work-in-progress.;Series constructed by Filip Novokmet, work-in-progress.;Series constructed by Filip Novokmet, work-in-progress.;Series constructed by Filip Novokmet, work-in-progress.;Series constructed by Filip Novokmet, work-in-progress.;Series constructed by Filip Novokmet, work-in-progress.;Series constructed by Filip Novokmet, work-in-progress.;Series constructed by Filip Novokmet, work-in-progress.;Series constructed by Filip Novokmet, work-in-progress.;Series constructed by Filip Novokmet, work-in-progress.;Series constructed by Filip Novokmet, work-in-progress.;Series constructed by Filip Novokmet, work-in-progress.;Series constructed by Filip Novokmet, work-in-progress.;Series constructed by Filip Novokmet, work-in-progress.;Series constructed by Filip Novokmet, work-in-progress.;Series constructed by Filip Novokmet, work-in-progress.;Series constructed by Filip Novokmet, work-in-progress.;Series constructed by Filip Novokmet, work-in-progress.;Series constructed by Filip Novokmet, work-in-progress.;Series constructed by Filip Novokmet, work-in-progress.;Series constructed by Filip Novokmet, work-in-progress.;Series constructed by Filip Novokmet, work-in-progress.;Series constructed by Filip Novokmet, work-in-progress.;Series constructed by Filip Novokmet, work-in-progress.;http://wordpress.wid.world/document/7736/ (Novokmet, Filip (2018).The long-run evolution of inequality in the Czech Lands: Top income shares, 1898-2015);http://wordpress.wid.world/document/7736/ (Novokmet, Filip (2018).The long-run evolution of inequality in the Czech Lands: Top income shares, 1898-2015);http://wid.world/wp-content/uploads/2018/03/WID_WORKING_PAPER_2018_5_Novokmet_Czech_Republic.pdf/ (Novokmet, Filip (2018).The long-run evolution of inequality in the Czech Lands: Top income shares, 1898-2015);Series constructed by Filip Novokmet, work-in-progress.;Series constructed by Filip Novokmet, work-in-progress.;Series constructed by Filip Novokmet, work-in-progress.;Series constructed by Filip Novokmet, work-in-progress.;Series constructed by Filip Novokmet, work-in-progress.;Series constructed by Filip Novokmet, work-in-progress.;Series constructed by Filip Novokmet, work-in-progress.;Series constructed by Filip Novokmet, work-in-progress.;Series constructed by Filip Novokmet, work-in-progress.;Series constructed by Filip Novokmet, work-in-progress.;Series constructed by Filip Novokmet, work-in-progress.;Series constructed by Filip Novokmet, work-in-progress.;Series constructed by Filip Novokmet, work-in-progress.;http://wid.world/wp-content/uploads/2018/03/WID_WORKING_PAPER_2018_5_Novokmet_Czech_Republic.pdf/ (Novokmet, Filip (2018).The long-run evolution of inequality in the Czech Lands: Top income shares, 1898-2015);http://wid.world/wp-content/uploads/2018/03/WID_WORKING_PAPER_2018_5_Novokmet_Czech_Republic.pdf/ (Novokmet, Filip (2018).The long-run evolution of inequality in the Czech Lands: Top income shares, 1898-2015);http://wordpress.wid.world/document/7736/ (Novokmet, Filip (2018).The long-run evolution of inequality in the Czech Lands: Top income shares, 1898-2015);http://wordpress.wid.world/document/7736/ (Novokmet, Filip (2018).The long-run evolution of inequality in the Czech Lands: Top income shares, 1898-2015)
Variable Code;country;year;perc;afiinc992i;ahwagr992i;ahwagr999i;ahwbus992i;ahwbus999i;ahwdeb992i;ahwdeb999i;ahwdwe992i;ahwdwe999i;ahweal992i;ahweal999i;ahwequ992i;ahwequ999i;ahwfin992i;ahwfin999i;ahwfix992i;ahwfix999i;ahwhou992i;ahwhou999i;ahwlan992i;ahwlan999i;ahwnfa992i;ahwnfa999i;ahwodk992i;ahwodk999i;ahwpen992i;ahwpen999i;aptinc992j;bptinc992j;mfiinc992i;mhwagr999i;mhwbus999i;mhwdeb999i;mhwdwe999i;mhweal999i;mhwequ999i;mhwfin999i;mhwfix999i;mhwhou999i;mhwlan999i;mhwnfa999i;mhwodk999i;mhwpen999i;sfiinc992i;sfiinc992t;sptinc992j;tptinc992j
;CZ;2002;p98p99;;;;;;;;;;;;;;;;;;;;;;;;;;;;997852.927826;;;;;;;;;;;;;;;;;;0.0319601089;866023.252784
;CZ;2002;p1p100;;;;;;;;;;;;;;;;;;;;;;;;;;;;314963.30346;3.8924729981;;;;;;;;;;;;;;;;;0.9987041759;80915.9892988
;CZ;2002;p2p100;;;;;;;;;;;;;;;;;;;;;;;;;;;;316980.169578;2.3185722799;;;;;;;;;;;;;;;;;0.9949468547;136713.51647
;CZ;2002;p3p100;;;;;;;;;;;;;;;;;;;;;;;;;;;;318821.668867;2.2773633433;;;;;;;;;;;;;;;;;0.9905155078;139995.960596
;CZ;2002;p4p100;;;;;;;;;;;;;;;;;;;;;;;;;;;;320667.340598;2.2380716844;;;;;;;;;;;;;;;;;0.9859790278;143278.404721
;CZ;2002;p5p100;;;;;;;;;;;;;;;;;;;;;;;;;;;;322517.316533;2.2005693817;;;;;;;;;;;;;;;;;0.9813374149;146560.848847
;CZ;2002;p6p100;;;;;;;;;;;;;;;;;;;;;;;;;;;;324371.73404;2.1647397598;;;;;;;;;;;;;;;;;0.976590669;149843.292972
;CZ;2002;p7p100;;;;;;;;;;;;;;;;;;;;;;;;;;;;326230.736395;2.1304761863;;;;;;;;;;;;;;;;;0.97173879;153125.737098
;CZ;2002;p8p100;;;;;;;;;;;;;;;;;;;;;;;;;;;;328094.473104;2.0976810199;;;;;;;;;;;;;;;;;0.9667817781;156408.181224
;CZ;2002;p9p100;;;;;;;;;;;;;;;;;;;;;;;;;;;;329963.100244;2.0662646885;;;;;;;;;;;;;;;;;0.9617196332;159690.625349
;CZ;2002;p10p100;;;;;;;;;;;;;;;;;;;;;;;;;;;;331836.780831;2.036144879;;;;;;;;;;;;;;;;;0.9565523553;162973.069475
;CZ;2002;p11p100;;;;;;;;;;;;;;;;;;;;;;;;;;;;333731.032297;2.0376830272;;;;;;;;;;;;;;;;;0.9513236923;163779.659467
;CZ;2002;p12p100;;;;;;;;;;;;;;;;;;;;;;;;;;;;335651.308532;2.0232817021;;;;;;;;;;;;;;;;;0.9460470397;165894.501085
;CZ;2002;p13p100;;;;;;;;;;;;;;;;;;;;;;;;;;;;337586.011856;1.9989709402;;;;;;;;;;;;;;;;;0.9406875798;168879.899682
;CZ;2002;p14p100;;;;;;;;;;;;;;;;;;;;;;;;;;;;339527.919719;1.9702270314;;;;;;;;;;;;;;;;;0.9352240319;172329.337845
;CZ;2002;p15p100;;;;;;;;;;;;;;;;;;;;;;;;;;;;341474.034453;1.9415767065;;;;;;;;;;;;;;;;;0.9296475428;175874.604029
;CZ;2002;p16p100;;;;;;;;;;;;;;;;;;;;;;;;;;;;343425.330929;1.9165002531;;;;;;;;;;;;;;;;;0.9239603311;179193.991952
;CZ;2002;p17p100;;;;;;;;;;;;;;;;;;;;;;;;;;;;345386.381197;1.8975033548;;;;;;;;;;;;;;;;;0.9181740531;182021.486459
;CZ;2002;p18p100;;;;;;;;;;;;;;;;;;;;;;;;;;;;347364.833737;1.8862437155;;;;;;;;;;;;;;;;;0.9123078594;184156.920383
;CZ;2002;p19p100;;;;;;;;;;;;;;;;;;;;;;;;;;;;349370.722451;1.8836319449;;;;;;;;;;;;;;;;;0.9063861092;185477.169992
;CZ;2002;p20p100;;;;;;;;;;;;;;;;;;;;;;;;;;;;351415.576604;1.8898538165;;;;;;;;;;;;;;;;;0.9004357079;185948.549849
;CZ;2002;p21p100;;;;;;;;;;;;;;;;;;;;;;;;;;;;353507.358695;1.8949620468;;;;;;;;;;;;;;;;;0.8944730586;186551.155096
;CZ;2002;p22p100;;;;;;;;;;;;;;;;;;;;;;;;;;;;355639.252839;1.8916859191;;;;;;;;;;;;;;;;;0.8884766246;188001.215872
;CZ;2002;p23p100;;;;;;;;;;;;;;;;;;;;;;;;;;;;357803.955574;1.8834198516;;;;;;;;;;;;;;;;;0.8824245394;189975.67392
;CZ;2002;p24p100;;;;;;;;;;;;;;;;;;;;;;;;;;;;359997.757759;1.8730937713;;;;;;;;;;;;;;;;;0.8763046221;192194.199387
;CZ;2002;p25p100;;;;;;;;;;;;;;;;;;;;;;;;;;;;362220.156606;1.8630032677;;;;;;;;;;;;;;;;;0.8701128686;194428.084425
;CZ;2002;p26p100;;;;;;;;;;;;;;;;;;;;;;;;;;;;364473.307409;1.8547275802;;;;;;;;;;;;;;;;;0.8638516396;196510.426278
;CZ;2002;p27p100;;;;;;;;;;;;;;;;;;;;;;;;;;;;366761.28149;1.849082845;;;;;;;;;;;;;;;;;0.8575274993;198347.674079
;CZ;2002;p28p100;;;;;;;;;;;;;;;;;;;;;;;;;;;;369089.091666;1.8460667731;;;;;;;;;;;;;;;;;0.8511486618;199932.687722
;CZ;2002;p29p100;;;;;;;;;;;;;;;;;;;;;;;;;;;;371461.439507;1.8447671086;;;;;;;;;;;;;;;;;0.8447219909;201359.530846
;CZ;2002;p30p100;;;;;;;;;;;;;;;;;;;;;;;;;;;;373881.129861;1.8432292231;;;;;;;;;;;;;;;;;0.8382494956;202840.278998
;CZ;2002;p31p100;;;;;;;;;;;;;;;;;;;;;;;;;;;;376347.436841;1.8391927805;;;;;;;;;;;;;;;;;0.8317250228;204626.421347
;CZ;2002;p32p100;;;;;;;;;;;;;;;;;;;;;;;;;;;;378857.883293;1.8330337471;;;;;;;;;;;;;;;;;0.8251386981;206683.528818
;CZ;2002;p33p100;;;;;;;;;;;;;;;;;;;;;;;;;;;;381411.219299;1.8257697882;;;;;;;;;;;;;;;;;0.818483598;208904.332722
;CZ;2002;p34p100;;;;;;;;;;;;;;;;;;;;;;;;;;;;384007.629709;1.8182412055;;;;;;;;;;;;;;;;;0.8117559922;211197.297997
;CZ;2002;p35p100;;;;;;;;;;;;;;;;;;;;;;;;;;;;386648.574055;1.8110817171;;;;;;;;;;;;;;;;;0.8049547803;213490.407643
;CZ;2002;p36p100;;;;;;;;;;;;;;;;;;;;;;;;;;;;389336.547771;1.8046935654;;;;;;;;;;;;;;;;;0.7980807985;215735.543821
;CZ;2002;p37p100;;;;;;;;;;;;;;;;;;;;;;;;;;;;392074.745862;1.7992215383;;;;;;;;;;;;;;;;;0.7911359749;217913.546228
;CZ;2002;p38p100;;;;;;;;;;;;;;;;;;;;;;;;;;;;394866.606313;1.7945215297;;;;;;;;;;;;;;;;;0.7841223107;220040.049544
;CZ;2002;p39p100;;;;;;;;;;;;;;;;;;;;;;;;;;;;397715.205675;1.7901211852;;;;;;;;;;;;;;;;;0.7770406604;222172.224409
;CZ;2002;p40p100;;;;;;;;;;;;;;;;;;;;;;;;;;;;400622.473322;1.785173337;;;;;;;;;;;;;;;;;0.76988928;224416.567856
;CZ;2002;p41p100;;;;;;;;;;;;;;;;;;;;;;;;;;;;403588.409671;1.7788310272;;;;;;;;;;;;;;;;;0.7626625331;226884.062338
;CZ;2002;p42p100;;;;;;;;;;;;;;;;;;;;;;;;;;;;406612.502521;1.7715982476;;;;;;;;;;;;;;;;;0.7553538308;229517.331642
;CZ;2002;p43p100;;;;;;;;;;;;;;;;;;;;;;;;;;;;409695.752784;1.7642424628;;;;;;;;;;;;;;;;;0.7479594124;232221.909075
;CZ;2002;p44p100;;;;;;;;;;;;;;;;;;;;;;;;;;;;412840.787801;1.7573767043;;;;;;;;;;;;;;;;;0.7404783061;234918.777965
;CZ;2002;p45p100;;;;;;;;;;;;;;;;;;;;;;;;;;;;416051.689607;1.7514370833;;;;;;;;;;;;;;;;;0.7329117661;237548.749872
;CZ;2002;p46p100;;;;;;;;;;;;;;;;;;;;;;;;;;;;419333.715826;1.7466587545;;;;;;;;;;;;;;;;;0.7252625568;240077.642375
;CZ;2002;p47p100;;;;;;;;;;;;;;;;;;;;;;;;;;;;422692.882653;1.7430462018;;;;;;;;;;;;;;;;;0.7175340568;242502.397365
;CZ;2002;p48p100;;;;;;;;;;;;;;;;;;;;;;;;;;;;426135.371625;1.7403344833;;;;;;;;;;;;;;;;;0.7097291493;244858.316444
;CZ;2002;p49p100;;;;;;;;;;;;;;;;;;;;;;;;;;;;429666.712053;1.737939696;;;;;;;;;;;;;;;;;0.7018488602;247227.629964
;CZ;2002;p50p100;;;;;;;;;;;;;;;;;;;;;;;;;;;;433290.678506;1.7348999941;;;;;;;;;;;;;;;;;0.6938906966;249749.657024
;CZ;2002;p51p100;;;;;;;;;;;;;;;;;;;;;;;;;;;;437008.123226;1.7302173003;;;;;;;;;;;;;;;;;0.6858470961;252574.126464
;CZ;2002;p52p100;;;;;;;;;;;;;;;;;;;;;;;;;;;;440818.654936;1.7241741878;;;;;;;;;;;;;;;;;0.6777084751;255669.443415
;CZ;2002;p53p100;;;;;;;;;;;;;;;;;;;;;;;;;;;;444723.305795;1.7173680156;;;;;;;;;;;;;;;;;0.669467443;258956.32255
;CZ;2002;p54p100;;;;;;;;;;;;;;;;;;;;;;;;;;;;448724.852079;1.7103250559;;;;;;;;;;;;;;;;;0.6611190464;262362.321436
;CZ;2002;p55p100;;;;;;;;;;;;;;;;;;;;;;;;;;;;452827.821827;1.7034807875;;;;;;;;;;;;;;;;;0.6526605014;265825.024362
;CZ;2002;p56p100;;;;;;;;;;;;;;;;;;;;;;;;;;;;457038.422722;1.6971601321;;;;;;;;;;;;;;;;;0.6440908107;269295.992806
;CZ;2002;p57p100;;;;;;;;;;;;;;;;;;;;;;;;;;;;461364.357599;1.6915553636;;;;;;;;;;;;;;;;;0.6354102412;272745.644355
;CZ;2002;p58p100;;;;;;;;;;;;;;;;;;;;;;;;;;;;465814.484382;1.6866992154;;;;;;;;;;;;;;;;;0.6266196265;276169.266057
;CZ;2002;p59p100;;;;;;;;;;;;;;;;;;;;;;;;;;;;470398.263168;1.6824307737;;;;;;;;;;;;;;;;;0.6177194564;279594.424042
;CZ;2002;p60p100;;;;;;;;;;;;;;;;;;;;;;;;;;;;475124.914299;1.6783522782;;;;;;;;;;;;;;;;;0.6087087013;283090.100012
;CZ;2002;p61p100;;;;;;;;;;;;;;;;;;;;;;;;;;;;480002.403315;1.6739782505;;;;;;;;;;;;;;;;;0.5995835832;286743.512445
;CZ;2002;p62p100;;;;;;;;;;;;;;;;;;;;;;;;;;;;485038.419475;1.6694042575;;;;;;;;;;;;;;;;;0.590338967;290545.814343
;CZ;2002;p63p100;;;;;;;;;;;;;;;;;;;;;;;;;;;;490242.281836;1.6648787072;;;;;;;;;;;;;;;;;0.5809706642;294461.259988
;CZ;2002;p64p100;;;;;;;;;;;;;;;;;;;;;;;;;;;;495625.28912;1.6606202046;;;;;;;;;;;;;;;;;0.5714755748;298457.942254
;CZ;2002;p65p100;;;;;;;;;;;;;;;;;;;;;;;;;;;;501200.861704;1.6568071665;;;;;;;;;;;;;;;;;0.5618515298;302510.075915
;CZ;2002;p66p100;;;;;;;;;;;;;;;;;;;;;;;;;;;;506984.6316;1.6535649162;;;;;;;;;;;;;;;;;0.5520970492;306600.984722
;CZ;2002;p67p100;;;;;;;;;;;;;;;;;;;;;;;;;;;;512994.445085;1.6509490628;;;;;;;;;;;;;;;;;0.5422109908;310726.997359
;CZ;2002;p68p100;;;;;;;;;;;;;;;;;;;;;;;;;;;;519250.226464;1.6489236736;;;;;;;;;;;;;;;;;0.5321920556;314902.523849
;CZ;2002;p69p100;;;;;;;;;;;;;;;;;;;;;;;;;;;;525773.62794;1.6473324823;;;;;;;;;;;;;;;;;0.5220381079;319166.673154
;CZ;2002;p70p100;;;;;;;;;;;;;;;;;;;;;;;;;;;;532587.356737;1.6458612539;;;;;;;;;;;;;;;;;0.5117452514;323591.891765
;CZ;2002;p71p100;;;;;;;;;;;;;;;;;;;;;;;;;;;;539714.298928;1.6441545082;;;;;;;;;;;;;;;;;0.5013068471;328262.518054
;CZ;2002;p72p100;;;;;;;;;;;;;;;;;;;;;;;;;;;;547179.194257;1.6423530772;;;;;;;;;;;;;;;;;0.4907149861;333167.819917
;CZ;2002;p73p100;;;;;;;;;;;;;;;;;;;;;;;;;;;;555011.617049;1.6407389845;;;;;;;;;;;;;;;;;0.479962771;338269.293475
;CZ;2002;p74p100;;;;;;;;;;;;;;;;;;;;;;;;;;;;563247.140675;1.6395839814;;;;;;;;;;;;;;;;;0.469044511;343530.521796
;CZ;2002;p75p100;;;;;;;;;;;;;;;;;;;;;;;;;;;;571928.393881;1.6391372317;;;;;;;;;;;;;;;;;0.4579556073;348920.384963
;CZ;2002;p76p100;;;;;;;;;;;;;;;;;;;;;;;;;;;;581106.217722;1.6396079401;;;;;;;;;;;;;;;;;0.4466923125;354417.787035
;CZ;2002;p77p100;;;;;;;;;;;;;;;;;;;;;;;;;;;;590840.874355;1.6411400462;;;;;;;;;;;;;;;;;0.4352513056;360018.55889
;CZ;2002;p78p100;;;;;;;;;;;;;;;;;;;;;;;;;;;;601203.204641;1.6437746767;;;;;;;;;;;;;;;;;0.4236289995;365745.50828
;CZ;2002;p79p100;;;;;;;;;;;;;;;;;;;;;;;;;;;;612275.535501;1.64739409;;;;;;;;;;;;;;;;;0.4118204567;371663.064239
;CZ;2002;p80p100;;;;;;;;;;;;;;;;;;;;;;;;;;;;624151.969007;1.6516383366;;;;;;;;;;;;;;;;;0.3998177354;377898.693185
;CZ;2002;p81p100;;;;;;;;;;;;;;;;;;;;;;;;;;;;636938.039392;1.6560035725;;;;;;;;;;;;;;;;;0.3876077947;384623.590176
;CZ;2002;p82p100;;;;;;;;;;;;;;;;;;;;;;;;;;;;650756.235184;1.6605650498;;;;;;;;;;;;;;;;;0.3751738478;391888.43296
;CZ;2002;p83p100;;;;;;;;;;;;;;;;;;;;;;;;;;;;665756.56736;1.665615204;;;;;;;;;;;;;;;;;0.3624984008;399706.10605
;CZ;2002;p84p100;;;;;;;;;;;;;;;;;;;;;;;;;;;;682125.642547;1.6714945444;;;;;;;;;;;;;;;;;0.349563495;408093.250932
;CZ;2002;p85p100;;;;;;;;;;;;;;;;;;;;;;;;;;;;700098.487053;1.6785937735;;;;;;;;;;;;;;;;;0.336350527;417074.39769
;CZ;2002;p86p100;;;;;;;;;;;;;;;;;;;;;;;;;;;;719975.035376;1.6873514497;;;;;;;;;;;;;;;;;0.3228398879;426689.434206
;CZ;2002;p87p100;;;;;;;;;;;;;;;;;;;;;;;;;;;;742143.44674;1.6982413318;;;;;;;;;;;;;;;;;0.3090102771;437007.057153
;CZ;2002;p88p100;;;;;;;;;;;;;;;;;;;;;;;;;;;;767113.549506;1.7117370913;;;;;;;;;;;;;;;;;0.2948374281;448149.165796
;CZ;2002;p89p100;;;;;;;;;;;;;;;;;;;;;;;;;;;;795565.475527;1.7282284898;;;;;;;;;;;;;;;;;0.2802917581;460335.817991
;CZ;2002;p91p100;;;;;;;;;;;;;;;;;;;;;;;;;;;;866945.421628;1.7697108909;;;;;;;;;;;;;;;;;0.249905596;489879.689441
;CZ;2002;p92p100;;;;;;;;;;;;;;;;;;;;;;;;;;;;912928.728799;1.7940325019;;;;;;;;;;;;;;;;;0.2339206572;508869.670876
;CZ;2002;p93p100;;;;;;;;;;;;;;;;;;;;;;;;;;;;969054.297116;1.8213657585;;;;;;;;;;;;;;;;;0.2172640476;532048.158156
;CZ;2002;p94p100;;;;;;;;;;;;;;;;;;;;;;;;;;;;1039561.07188;1.852502768;;;;;;;;;;;;;;;;;0.1997758435;561165.732034
;CZ;2002;p95p100;;;;;;;;;;;;;;;;;;;;;;;;;;;;1131621.4781;1.8886029476;;;;;;;;;;;;;;;;;0.1812228268;599184.428659
;CZ;2002;p96p100;;;;;;;;;;;;;;;;;;;;;;;;;;;;1258564.06157;1.9314724197;;;;;;;;;;;;;;;;;0.1612415751;651608.611514
;CZ;2002;p97p100;;;;;;;;;;;;;;;;;;;;;;;;;;;;1448784.25161;1.984187756;;;;;;;;;;;;;;;;;0.1392087986;730164.898558
;CZ;2002;p98p100;;;;;;;;;;;;;;;;;;;;;;;;;;;;1777758.5824;2.0527838908;;;;;;;;;;;;;;;;;0.1138792226;866023.252784
;CZ;2002;p0p90;;;;;;;;;;;;;;;;;;;;;;;;;;;;254862.366258;;;;;;;;;;;;;;;;;;0.7346659888;0.0
;CZ;2002;p0p99;;;;;;;;;;;;;;;;;;;;;;;;;;;;289536.97778;;;;;;;;;;;;;;;;;;0.9180808862;0.0
;CZ;2002;p99.1p100;;;;;;;;;;;;;;;;;;;;;;;;;;;;2706517.45988;2.1659452633;;;;;;;;;;;;;;;;;0.0780180438;1249577.9583
;CZ;2002;p99.1p99.2;;;;;;;;;;;;;;;;;;;;;;;;;;;;1285122.91965;;;;;;;;;;;;;;;;;;0.0041161044;1249577.9583
;CZ;2002;p99.2p100;;;;;;;;;;;;;;;;;;;;;;;;;;;;2884191.7774;2.1801164097;;;;;;;;;;;;;;;;;0.0739019394;1322953.10678
;CZ;2002;p99.2p99.3;;;;;;;;;;;;;;;;;;;;;;;;;;;;1366151.67499;;;;;;;;;;;;;;;;;;0.0043756304;1322953.10678
;CZ;2002;p99.3p100;;;;;;;;;;;;;;;;;;;;;;;;;;;;3101054.64918;2.1954180044;;;;;;;;;;;;;;;;;0.069526309;1412512.16989
;CZ;2002;p99.3p99.4;;;;;;;;;;;;;;;;;;;;;;;;;;;;1466473.25117;;;;;;;;;;;;;;;;;;0.0046969492;1412512.16989
;CZ;2002;p99.4p100;;;;;;;;;;;;;;;;;;;;;;;;;;;;3373484.88218;2.2120933917;;;;;;;;;;;;;;;;;0.0648293598;1525019.1944
;CZ;2002;p99.4p99.5;;;;;;;;;;;;;;;;;;;;;;;;;;;;1594929.70047;;;;;;;;;;;;;;;;;;0.0051083808;1525019.1944
;CZ;2002;p99.5p100;;;;;;;;;;;;;;;;;;;;;;;;;;;;3729195.91852;2.2304881842;;;;;;;;;;;;;;;;;0.0597209791;1671919.15423
;CZ;2002;p99.5p99.6;;;;;;;;;;;;;;;;;;;;;;;;;;;;1767228.56373;;;;;;;;;;;;;;;;;;0.0056602347;1671919.15423
;CZ;2002;p99.6p100;;;;;;;;;;;;;;;;;;;;;;;;;;;;4219687.75721;2.2511241012;;;;;;;;;;;;;;;;;0.0540607444;1874480.28965
;CZ;2002;p99.6p99.7;;;;;;;;;;;;;;;;;;;;;;;;;;;;2014719.61608;;;;;;;;;;;;;;;;;;0.0064529207;1874480.28965
;CZ;2002;p99.7p100;;;;;;;;;;;;;;;;;;;;;;;;;;;;4954677.13759;2.2748612126;;;;;;;;;;;;;;;;;0.0476078237;2178012.9311
;CZ;2002;p99.7p99.8;;;;;;;;;;;;;;;;;;;;;;;;;;;;2412437.64666;;;;;;;;;;;;;;;;;;0.0077267669;2178012.9311
;CZ;2002;p99.8p100;;;;;;;;;;;;;;;;;;;;;;;;;;;;6225796.88306;2.3033304245;;;;;;;;;;;;;;;;;0.0398810568;2702954.30337
;CZ;2002;p99.8p99.9;;;;;;;;;;;;;;;;;;;;;;;;;;;;3212329.31323;;;;;;;;;;;;;;;;;;0.0102887301;2702954.30337
;CZ;2002;p99.91p100;;;;;;;;;;;;;;;;;;;;;;;;;;;;9814416.5335;2.3451601373;;;;;;;;;;;;;;;;;0.0282910268;4184966.46672
;CZ;2002;p99.91p99.92;;;;;;;;;;;;;;;;;;;;;;;;;;;;4322308.19219;;;;;;;;;;;;;;;;;;0.0013843868;4184966.46672
;CZ;2002;p99.92p100;;;;;;;;;;;;;;;;;;;;;;;;;;;;10500930.0762;2.3500005842;;;;;;;;;;;;;;;;;0.02690664;4468479.77257
;CZ;2002;p99.92p99.93;;;;;;;;;;;;;;;;;;;;;;;;;;;;4635394.17253;;;;;;;;;;;;;;;;;;0.0014846647;4468479.77257
;CZ;2002;p99.93p100;;;;;;;;;;;;;;;;;;;;;;;;;;;;11338863.7767;2.3551361048;;;;;;;;;;;;;;;;;0.0254219753;4814525.90095
;CZ;2002;p99.93p99.94;;;;;;;;;;;;;;;;;;;;;;;;;;;;5023025.4387;;;;;;;;;;;;;;;;;;0.0016088186;4814525.90095
;CZ;2002;p99.94p100;;;;;;;;;;;;;;;;;;;;;;;;;;;;12391503.4997;2.3606279451;;;;;;;;;;;;;;;;;0.0238131566;5249240.36642
;CZ;2002;p99.94p99.95;;;;;;;;;;;;;;;;;;;;;;;;;;;;5519366.68438;;;;;;;;;;;;;;;;;;0.0017677912;5249240.36642
;CZ;2002;p99.95p100;;;;;;;;;;;;;;;;;;;;;;;;;;;;13765930.8627;2.3665630167;;;;;;;;;;;;;;;;;0.0220453655;5816845.25858
;CZ;2002;p99.95p99.96;;;;;;;;;;;;;;;;;;;;;;;;;;;;6185110.07746;;;;;;;;;;;;;;;;;;0.0019810213;5816845.25858
;CZ;2002;p99.96p100;;;;;;;;;;;;;;;;;;;;;;;;;;;;15661136.0591;2.3730724713;;;;;;;;;;;;;;;;;0.0200643441;6599518.66133
;CZ;2002;p99.96p99.97;;;;;;;;;;;;;;;;;;;;;;;;;;;;7141387.61653;;;;;;;;;;;;;;;;;;0.0022873063;6599518.66133
;CZ;2002;p99.97p100;;;;;;;;;;;;;;;;;;;;;;;;;;;;18501052.2066;2.3803725897;;;;;;;;;;;;;;;;;0.0177770379;7772334.58597
;CZ;2002;p99.97p99.98;;;;;;;;;;;;;;;;;;;;;;;;;;;;8678125.27201;;;;;;;;;;;;;;;;;;0.0027795061;7772334.58597
;CZ;2002;p99.98p100;;;;;;;;;;;;;;;;;;;;;;;;;;;;23412515.6738;2.3888740345;;;;;;;;;;;;;;;;;0.0149975318;9800648.89826
;CZ;2002;p99.98p99.99;;;;;;;;;;;;;;;;;;;;;;;;;;;;11768816.5402;;;;;;;;;;;;;;;;;;0.0037694198;9800648.89826
;CZ;2002;p99.991p100;;;;;;;;;;;;;;;;;;;;;;;;;;;;37278537.6391;2.4008883292;;;;;;;;;;;;;;;;;0.0107459073;15526976.905
;CZ;2002;p99.991p99.992;;;;;;;;;;;;;;;;;;;;;;;;;;;;16057649.8568;;;;;;;;;;;;;;;;;;0.0005143085;15526976.905
;CZ;2002;p99.992p100;;;;;;;;;;;;;;;;;;;;;;;;;;;;39931148.6119;2.4022434562;;;;;;;;;;;;;;;;;0.0102315988;16622440.3726
;CZ;2002;p99.992p99.993;;;;;;;;;;;;;;;;;;;;;;;;;;;;17267378.8061;;;;;;;;;;;;;;;;;;0.0005530548;16622440.3726
;CZ;2002;p99.993p100;;;;;;;;;;;;;;;;;;;;;;;;;;;;43168830.0127;2.4036734451;;;;;;;;;;;;;;;;;0.0096785441;17959523.6203
;CZ;2002;p99.993p99.994;;;;;;;;;;;;;;;;;;;;;;;;;;;;18765142.3408;;;;;;;;;;;;;;;;;;0.0006010264;17959523.6203
;CZ;2002;p99.994p100;;;;;;;;;;;;;;;;;;;;;;;;;;;;47236111.2913;2.4051938998;;;;;;;;;;;;;;;;;0.0090775176;19639211.3315
;CZ;2002;p99.994p99.995;;;;;;;;;;;;;;;;;;;;;;;;;;;;20682948.9862;;;;;;;;;;;;;;;;;;0.0006624516;19639211.3315
;CZ;2002;p99.995p100;;;;;;;;;;;;;;;;;;;;;;;;;;;;52546743.7524;2.4068269871;;;;;;;;;;;;;;;;;0.008415066;21832372.6773
;CZ;2002;p99.995p99.996;;;;;;;;;;;;;;;;;;;;;;;;;;;;23255306.4415;;;;;;;;;;;;;;;;;;0.0007448414;21832372.6773
;CZ;2002;p99.996p100;;;;;;;;;;;;;;;;;;;;;;;;;;;;59869603.0801;2.4086061975;;;;;;;;;;;;;;;;;0.0076702247;24856534.5143
;CZ;2002;p99.996p99.997;;;;;;;;;;;;;;;;;;;;;;;;;;;;26950255.0999;;;;;;;;;;;;;;;;;;0.0008631864;24856534.5143
;CZ;2002;p99.997p100;;;;;;;;;;;;;;;;;;;;;;;;;;;;70842719.0735;2.4105868354;;;;;;;;;;;;;;;;;0.0068070382;29388163.0946
