Variable Name;.;.;.;Fiscal income  | equal-split adults | Average | Adults | constant 2015 local currency;Personal agricultural land | individuals | Average | Adults | constant 2015 local currency;Personal agricultural land | individuals | Average | All Ages | constant 2015 local currency;Personal bonds & loans | individuals | Average | Adults | constant 2015 local currency;Personal bonds & loans | individuals | Average | All Ages | constant 2015 local currency;Personal business and other non-financial assets | individuals | Average | Adults | constant 2015 local currency;Personal business and other non-financial assets | individuals | Average | All Ages | constant 2015 local currency;Net personal wealth | individuals | Average | Adults | constant 2015 local currency;Net personal wealth | equal-split adults | Average | Adults | constant 2015 local currency;Net personal wealth | individuals | Average | All Ages | constant 2015 local currency;Personal equity, fund shares & offshore wealth | individuals | Average | Adults | constant 2015 local currency;Personal equity, fund shares & offshore wealth | individuals | Average | All Ages | constant 2015 local currency;Personal financial assets | individuals | Average | Adults | constant 2015 local currency;Personal financial assets | individuals | Average | All Ages | constant 2015 local currency;Personal currency, bonds & deposits | individuals | Average | Adults | constant 2015 local currency;Personal currency, bonds & deposits | individuals | Average | All Ages | constant 2015 local currency;Personal housing assets | individuals | Average | Adults | constant 2015 local currency;Personal housing assets | individuals | Average | All Ages | constant 2015 local currency;Personal other domestic capital | individuals | Average | Adults | constant 2015 local currency;Personal other domestic capital | individuals | Average | All Ages | constant 2015 local currency;Personal offshore wealth | individuals | Average | Adults | constant 2015 local currency;Personal offshore wealth | individuals | Average | All Ages | constant 2015 local currency;Personal pension funds & life insurance | individuals | Average | Adults | constant 2015 local currency;Personal pension funds & life insurance | individuals | Average | All Ages | constant 2015 local currency;Pre-tax national income  | equal-split adults | Average | Adults | constant 2015 local currency;Fiscal income  | equal-split adults | Beta coefficient | Adults | constant 2015 local currency;Net personal wealth | equal-split adults | Beta coefficient | Adults | constant 2015 local currency;Pre-tax national income  | equal-split adults | Beta coefficient | Adults | constant 2015 local currency;Personal agricultural land | individuals | Total | All Ages | constant 2015 local currency;Personal bonds & loans | individuals | Total | All Ages | constant 2015 local currency;Personal business and other non-financial assets | individuals | Total | All Ages | constant 2015 local currency;Net personal wealth | individuals | Total | All Ages | constant 2015 local currency;Personal equity, fund shares & offshore wealth | individuals | Total | All Ages | constant 2015 local currency;Personal financial assets | individuals | Total | All Ages | constant 2015 local currency;Personal currency, bonds & deposits | individuals | Total | All Ages | constant 2015 local currency;Personal housing assets | individuals | Total | All Ages | constant 2015 local currency;Personal other domestic capital | individuals | Total | All Ages | constant 2015 local currency;Personal offshore wealth | individuals | Total | All Ages | constant 2015 local currency;Personal pension funds & life insurance | individuals | Total | All Ages | constant 2015 local currency;Fiscal income  | equal-split adults | Share | Adults | share of total (ratio);Net personal wealth | equal-split adults | Share | Adults | share of total (ratio);Pre-tax national income  | equal-split adults | Share | Adults | share of total (ratio);Fiscal income  | equal-split adults | Threshold | Adults | constant 2015 local currency;Net personal wealth | equal-split adults | Threshold | Adults | constant 2015 local currency;Pre-tax national income  | equal-split adults | Threshold | Adults | constant 2015 local currency
;RU;2008;p42p43;208959.463054;;;;;;;;564598.846115;;;;;;;;;;;;;;;;277555.651163;;;;;;;;;;;;;;;0.00452332524583;0.00224077235907;0.00433848099783;206338.34375;543197.5625;274112.84375
;RU;2008;p43p44;214136.636446;;;;;;;;603736.619301;;;;;;;;;;;;;;;;284369.050832;;;;;;;;;;;;;;;0.00463539501652;0.00239610183053;0.00444498145953;211567.15625;584722.8125;280985.6875
;RU;2008;p44p45;219172.155415;;;;;;;;643834.276535;;;;;;;;;;;;;;;;291046.544764;;;;;;;;;;;;;;;0.00474439840764;0.00255524087697;0.00454935757443;216682.078125;626164.1875;287735.28125
;RU;2008;p45p46;224028.847775;;;;;;;;678876.204187;;;;;;;;;;;;;;;;297571.360726;;;;;;;;;;;;;;;0.00484953075647;0.00269431481138;0.00465134717524;221631.890625;656158.3125;294333.8125
;RU;2008;p46p47;228702.475724;;;;;;;;710183.548129;;;;;;;;;;;;;;;;303993.040857;;;;;;;;;;;;;;;0.00495070032775;0.00281856697984;0.00475172465667;226394.625;697968.125;300796.75
;RU;2008;p47p48;233229.867262;;;;;;;;739494.330902;;;;;;;;;;;;;;;;310408.733032;;;;;;;;;;;;;;;0.0050487043336;0.00293489522301;0.00485200854018;230985.109375;723766.875;307192.96875
;RU;2008;p48p49;237698.768537;;;;;;;;759344.78231;;;;;;;;;;;;;;;;316928.544135;;;;;;;;;;;;;;;0.00514544220641;0.00301367742941;0.00495391990989;235463.828125;752507.0625;313634.71875
;RU;2008;p49p50;242259.524693;;;;;;;;786421.408854;;;;;;;;;;;;;;;;323643.544714;;;;;;;;;;;;;;;0.00524416845292;0.00312113878317;0.00505888229236;239947.75;769981.5;320242.4375
;RU;2008;p50p51;247123.423466;;;;;;;;815782.467916;;;;;;;;;;;;;;;;330649.98892;;;;;;;;;;;;;;;0.00534945679829;0.0032376665622;0.0051684002392;244622.875;800034.0625;327091.25
;RU;2008;p51p52;252408.45643;;;;;;;;846951.009409;;;;;;;;;;;;;;;;338008.769196;;;;;;;;;;;;;;;0.00546386139467;0.00336136785336;0.00528342556208;249696.5625;832733.875;334267.21875
;RU;2008;p52p53;258087.841542;;;;;;;;873394.694442;;;;;;;;;;;;;;;;345754.293942;;;;;;;;;;;;;;;0.00558680249378;0.00346631719731;0.0054044960998;255186.203125;858214.1875;341817.65625
;RU;2008;p53p54;264112.467632;;;;;;;;901562.96763;;;;;;;;;;;;;;;;353874.587249;;;;;;;;;;;;;;;0.00571721699089;0.00357811106369;0.00553142465651;261047.1875;886058.9375;349759.0
;RU;2008;p54p55;270423.285134;;;;;;;;933331.363322;;;;;;;;;;;;;;;;362321.894426;;;;;;;;;;;;;;;0.00585382664576;0.00370419304818;0.00566346477717;267225.65625;916964.375;358028.5625
;RU;2008;p55p56;276949.757245;;;;;;;;966629.343222;;;;;;;;;;;;;;;;371024.389797;;;;;;;;;;;;;;;0.00599510455504;0.00383634562604;0.00579949375242;273657.0625;951026.25;366635.90625
;RU;2008;p56p57;283608.418639;;;;;;;;1000411.19573;;;;;;;;;;;;;;;;379874.617863;;;;;;;;;;;;;;;0.00613924395293;0.00397041859105;0.00593783194199;280264.75;984008.0625;375441.40625
;RU;2008;p57p58;290300.767327;;;;;;;;1037872.01711;;;;;;;;;;;;;;;;388735.123762;;;;;;;;;;;;;;;0.0062841125764;0.00411909259856;0.00607633078471;286958.0;1016615.9375;384308.4375
;RU;2008;p58p59;296911.264066;;;;;;;;1075470.70228;;;;;;;;;;;;;;;;397466.843931;;;;;;;;;;;;;;;0.00642720935866;0.00426831375808;0.00621281657368;293630.21875;1056758.75;393128.21875
;RU;2008;p59p60;303304.729449;;;;;;;;1101425.23481;;;;;;;;;;;;;;;;406032.51005;;;;;;;;;;;;;;;0.0065656080842;0.00437132176012;0.00634670676664;300156.53125;1088361.75;401778.6875
;RU;2008;p60p61;309344.177088;;;;;;;;1137288.3614;;;;;;;;;;;;;;;;414484.25606;;;;;;;;;;;;;;;0.00669634342194;0.00451365485787;0.00647881627083;306390.9375;1117074.625;410277.3125
;RU;2008;p61p62;315099.347854;;;;;;;;1188277.90424;;;;;;;;;;;;;;;;422950.093129;;;;;;;;;;;;;;;0.00682092504576;0.00471602147445;0.00661114603281;312246.6875;1162330.625;418706.28125
;RU;2008;p62p63;320857.938977;;;;;;;;1232018.39243;;;;;;;;;;;;;;;;431619.520686;;;;;;;;;;;;;;;0.00694558070973;0.00488961813971;0.00674665812403;317952.71875;1213011.875;427240.15625
;RU;2008;p63p64;326917.478527;;;;;;;;1271083.0098;;;;;;;;;;;;;;;;440709.773416;;;;;;;;;;;;;;;0.0070767509751;0.00504465727136;0.00688874814659;323813.6875;1252927.125;436070.40625
;RU;2008;p64p65;333551.702651;;;;;;;;1308983.7047;;;;;;;;;;;;;;;;450433.379055;;;;;;;;;;;;;;;0.00722036138177;0.00519507704303;0.00704073812813;330117.71875;1287424.5;445460.4375
;RU;2008;p65p66;340992.636347;;;;;;;;1356364.85321;;;;;;;;;;;;;;;;461013.470871;;;;;;;;;;;;;;;0.00738143455237;0.00538312271237;0.00720611587167;337121.1875;1332101.5;455571.09375
;RU;2008;p66p67;349406.672473;;;;;;;;1411638.49901;;;;;;;;;;;;;;;;472640.23348;;;;;;;;;;;;;;;0.00756357237697;0.00560249201953;0.00738785415888;345027.875;1385930.625;466652.28125
;RU;2008;p67p68;358862.562364;;;;;;;;1458133.79927;;;;;;;;;;;;;;;;485388.561014;;;;;;;;;;;;;;;0.00776826310903;0.00578702194616;0.00758712366223;353961.40625;1433177.375;478808.375
;RU;2008;p68p69;369289.317469;;;;;;;;1526545.80666;;;;;;;;;;;;;;;;499175.486029;;;;;;;;;;;;;;;0.00799397006631;0.00605853460729;0.00780262751505;363928.71875;1487051.375;492123.1875
;RU;2008;p69p70;380420.924335;;;;;;;;1603245.59912;;;;;;;;;;;;;;;;513725.949851;;;;;;;;;;;;;;;0.00823493488133;0.00636293971911;0.00803006626666;374771.78125;1572584.125;506374.0625
;RU;2008;p70p71;391757.408456;;;;;;;;1656262.97181;;;;;;;;;;;;;;;;528580.726936;;;;;;;;;;;;;;;0.00848033465445;0.00657335435972;0.00826226174831;386104.59375;1633027.0;521130.53125
;RU;2008;p71p72;402869.912949;;;;;;;;1706776.85521;;;;;;;;;;;;;;;;543347.323183;;;;;;;;;;;;;;;0.00872088596225;0.00677383318543;0.00849307887256;397368.3125;1678675.875;536003.125
;RU;2008;p72p73;413584.451331;;;;;;;;1758764.06266;;;;;;;;;;;;;;;;557735.516389;;;;;;;;;;;;;;;0.00895282253623;0.00698015931994;0.00871798116714;408304.78125;1731813.625;550609.9375
;RU;2008;p73p74;423779.439578;;;;;;;;1807089.13822;;;;;;;;;;;;;;;;571606.064246;;;;;;;;;;;;;;;0.0091735124588;0.00717195123434;0.00893479213119;418776.8125;1783763.5;564765.4375
;RU;2008;p74p75;433378.037965;;;;;;;;1857047.69449;;;;;;;;;;;;;;;;584916.961692;;;;;;;;;;;;;;;0.00938129238784;0.00737022608519;0.00914285518229;428681.53125;1834324.125;578344.8125
;RU;2008;p75p76;442374.395313;;;;;;;;1906271.75937;;;;;;;;;;;;;;;;597815.017905;;;;;;;;;;;;;;;0.00957603566349;0.00756558589637;0.00934446509928;437972.40625;1880135.75;591406.0625
;RU;2008;p76p77;450870.907226;;;;;;;;1985939.90613;;;;;;;;;;;;;;;;610583.126546;;;;;;;;;;;;;;;0.00975995883346;0.0078817717731;0.00954404380172;446690.4375;1941210.5;604199.5
;RU;2008;p77p78;459131.263899;;;;;;;;2090157.19597;;;;;;;;;;;;;;;;623612.202801;;;;;;;;;;;;;;;0.00993876997381;0.00829538796097;0.00974770169705;455008.125;2035657.75;616996.1875
;RU;2008;p78p79;467656.472396;;;;;;;;2188015.15132;;;;;;;;;;;;;;;;637496.871508;;;;;;;;;;;;;;;0.0101233143359;0.00868376530707;0.00996473338455;463292.84375;2143129.5;630372.4375
;RU;2008;p79p80;477294.652276;;;;;;;;2275352.98399;;;;;;;;;;;;;;;;652955.985239;;;;;;;;;;;;;;;0.0103319510818;0.00903039053082;0.0102063752711;472197.3125;2237281.75;644886.9375
;RU;2008;p80p81;489285.521753;;;;;;;;2362572.07781;;;;;;;;;;;;;;;;670742.536849;;;;;;;;;;;;;;;0.0105915162712;0.00937654450536;0.0104843974113;482791.09375;2316924.25;661417.0625
;RU;2008;p81p82;504191.568276;;;;;;;;2457579.83107;;;;;;;;;;;;;;;;691373.933362;;;;;;;;;;;;;;;0.0109141860157;0.00975361000746;0.0108068874106;496284.1875;2410184.0;680576.1875
;RU;2008;p82p83;521485.884716;;;;;;;;2580690.21088;;;;;;;;;;;;;;;;714832.300284;;;;;;;;;;;;;;;0.0112885544077;0.0102422088385;0.011173565872;512499.125;2514000.75;702661.125
;RU;2008;p83p84;540418.444781;;;;;;;;2711282.54717;;;;;;;;;;;;;;;;740490.600361;;;;;;;;;;;;;;;0.0116983857006;0.0107605019584;0.0115746315569;530747.5625;2648324.25;727400.0625
;RU;2008;p84p85;560132.997497;;;;;;;;2849933.8733;;;;;;;;;;;;;;;;767357.57373;;;;;;;;;;;;;;;0.0121251447126;0.0113107794896;0.0119945900515;550220.625;2774194.75;753821.0625
;RU;2008;p85p86;579725.449908;;;;;;;;2995309.19833;;;;;;;;;;;;;;;;794370.879624;;;;;;;;;;;;;;;0.0125492606312;0.0118877431378;0.0124168358743;570023.9375;2922574.5;780934.375
;RU;2008;p86p87;598373.840659;;;;;;;;3153848.58041;;;;;;;;;;;;;;;;820810.473839;;;;;;;;;;;;;;;0.0129529405385;0.0125169521198;0.0128301139921;589264.4375;3066267.5;807689.6875
;RU;2008;p87p88;615600.696466;;;;;;;;3349897.24153;;;;;;;;;;;;;;;;847025.802734;;;;;;;;;;;;;;;0.0133258486167;0.0132950274274;0.0132398866117;607233.0625;3247933.5;833850.4375
;RU;2008;p88p89;631790.732241;;;;;;;;3565186.76139;;;;;;;;;;;;;;;;875308.733946;;;;;;;;;;;;;;;0.0136763127521;0.0141494655982;0.0136819779873;623766.375;3456983.75;860412.75
;RU;2008;p89p90;649218.679248;;;;;;;;3807022.1615;;;;;;;;;;;;;;;;914477.112914;;;;;;;;;;;;;;;0.0140535738319;0.0151092587039;0.0142942201346;639960.0625;3679369.75;891542.125
;RU;2008;p90p91;710697.645552;;;;;;;;4099445.71546;;;;;;;;;;;;;;;;998853.543252;;;;;;;;;;;;;;;0.0153844030574;0.0162698253989;0.015613110736;659597.1875;3944092.0;944894.0625
;RU;2008;p91p92;826115.174449;;;;;;;;4442478.07351;;;;;;;;;;;;;;;;1141595.44008;;;;;;;;;;;;;;;0.01788283512;0.0176312476397;0.0178443137556;765451.0;4260587.0;1062832.125
;RU;2008;p92p93;961560.121959;;;;;;;;4876236.78048;;;;;;;;;;;;;;;;1319375.63527;;;;;;;;;;;;;;;0.0208147987723;0.0193527434021;0.0206232015043;890902.0625;4635907.0;1225927.0
;RU;2008;p93p94;1115931.21905;;;;;;;;5443893.03505;;;;;;;;;;;;;;;;1524269.05477;;;;;;;;;;;;;;;0.0241564549506;0.021605649963;0.0238258969039;1036320.5;5136008.0;1417970.25
;RU;2008;p94p95;1285220.92549;;;;;;;;6183715.48179;;;;;;;;;;;;;;;;1751814.34402;;;;;;;;;;;;;;;0.0278210528195;0.0245418474078;0.0273826643825;1199008.75;5785036.0;1634765.0
;RU;2008;p95p96;1467206.99852;;;;;;;;7177164.14491;;;;;;;;;;;;;;;;2002254.83446;;;;;;;;;;;;;;;0.0317604877055;0.0284846331924;0.0312973074615;1374244.25;6615111.5;1872642.875
;RU;2008;p96p97;1676236.18093;;;;;;;;8657597.03269;;;;;;;;;;;;;;;;2299310.09896;;;;;;;;;;;;;;;0.0362853221595;0.0343601554632;0.0359405875206;1565164.5;7820700.0;2139423.75
;RU;2008;p97p98;1968595.0784;;;;;;;;11105198.3405;;;;;;;;;;;;;;;;2726273.85016;;;;;;;;;;;;;;;0.0426139868796;0.0440741628408;0.0426144711673;1800877.5;9645070.0;2479648.0
;RU;2008;p98p99;2521420.85881;;;;;;;;16358560.5517;;;;;;;;;;;;;;;;3550409.57572;;;;;;;;;;;;;;;0.0545809529722;0.0649236366153;0.0554965622723;2177864.25;12939928.0;3035613.0
;RU;2008;p1p100;466612.447395;;;;;;;;2552648.50581;;;;;;;;;;;;;;;;646316.825115;172.549057007;-10.1027803421;1023.29455566;;;;;;;;;;;;0.999970728366;1.0029608121;1.00015723696;2704.23071289;-252667.921875;631.603881836
;RU;2008;p2p100;471332.408804;;;;;;;;2580656.21342;;;;;;;;;;;;;;;;652876.290989;87.1509857178;-18.0815181732;109.00655365;;;;;;;;;;;;0.999882923562;1.00372324316;1.00010269764;5408.22802734;-142723.421875;5989.33056641
;RU;2008;p3p100;476121.812743;;;;;;;;2608290.00776;;;;;;;;;;;;;;;;659522.398149;58.6918869019;-35.8407211304;63.6946907043;;;;;;;;;;;;0.999736585589;1.00411941474;0.999974462282;8112.22558594;-72774.484375;10354.4326172
;RU;2008;p4p100;480982.829291;;;;;;;;2636029.84214;;;;;;;;;;;;;;;;666262.871966;44.4686508179;-66.5842971802;45.9627990723;;;;;;;;;;;;0.999531714447;1.00433664267;0.99978006053;10816.2226562;-39589.3632812;14495.6982422
;RU;2008;p5p100;485917.719899;;;;;;;;2664091.47019;;;;;;;;;;;;;;;;673102.211742;35.9400749207;-119.969657898;36.3067398071;;;;;;;;;;;;0.999268310135;1.00445501103;0.999521748469;13520.2197266;-22206.3769531;18539.3183594
;RU;2008;p6p100;490928.84225;;;;;;;;2692589.83934;;;;;;;;;;;;;;;;680043.779214;30.2590141296;-318.077697754;29.9912796021;;;;;;;;;;;;0.998946372654;1.00451357139;0.999199829427;16224.2177734;-8465.1953125;22674.7167969
;RU;2008;p7p100;496018.655433;;;;;;;;2721495.74418;;;;;;;;;;;;;;;;687084.9784;26.2052536011;154.97706604;24.1544570923;;;;;;;;;;;;0.998565902003;1.00449634412;0.998805735888;18928.2148438;17560.6347656;28445.4746094
;RU;2008;p8p100;501142.459551;;;;;;;;2750753.08576;;;;;;;;;;;;;;;;694161.709979;14.8962125778;68.7055892944;15.0505371094;;;;;;;;;;;;0.998032767429;1.00437799364;0.998242617473;33642.2734375;40036.8164062;46122.0546875
;RU;2008;p9p100;506173.838814;;;;;;;;2780399.41354;;;;;;;;;;;;;;;;701154.935595;9.56278705597;42.564666748;10.0599546432;;;;;;;;;;;;0.99709573909;1.00416789696;0.997339484964;52931.6210938;65321.7734375;69697.625
;RU;2008;p10p100;511102.700424;;;;;;;;2810482.02614;;;;;;;;;;;;;;;;708036.942817;7.07692956924;36.4168510437;7.60102033615;;;;;;;;;;;;0.99574115612;1.0038783173;0.996061268568;72220.96875;77175.3203125;93150.25
;RU;2008;p11p100;515975.168313;;;;;;;;2841157.92962;;;;;;;;;;;;;;;;714868.409706;6.28157091141;33.8153991699;6.73841428757;;;;;;;;;;;;0.994064537274;1.00355951809;0.994497596656;82141.1015625;84019.6484375;106088.523438
;RU;2008;p12p100;520862.507574;;;;;;;;2872450.88959;;;;;;;;;;;;;;;;721731.777518;5.83667612076;31.3976612091;6.26574754715;;;;;;;;;;;;0.992205299631;1.00321273563;0.992764239701;89239.578125;91486.140625;115186.859375
;RU;2008;p13p100;525792.761684;;;;;;;;2904361.27712;;;;;;;;;;;;;;;;728663.644653;5.5723862648;29.0597743988;5.98147439957;;;;;;;;;;;;0.990215291171;1.00283075113;0.990909471926;94356.84375;99944.3828125;121820.070312
;RU;2008;p14p100;530785.985924;;;;;;;;2936938.09492;;;;;;;;;;;;;;;;735688.422983;5.40256404877;27.5061836243;5.78883075714;;;;;;;;;;;;0.98812906056;1.00242293867;0.988962897298;98247.046875;106773.742188;127087.570312
;RU;2008;p15p100;535854.926827;;;;;;;;2970186.13043;;;;;;;;;;;;;;;;742820.513063;5.27650213242;25.8710765839;5.63631629944;;;;;;;;;;;;0.985965971924;1.00198297853;0.986939292044;101554.953125;114807.210938;131791.84375
;RU;2008;p16p100;541006.037989;;;;;;;;3004136.94797;;;;;;;;;;;;;;;;750066.77895;5.16273832321;24.5653629303;5.49488162994;;;;;;;;;;;;0.983732842999;1.00151340178;0.984842636536;104790.523438;122291.578125;136502.8125
;RU;2008;p17p100;546240.892831;;;;;;;;3038778.44606;;;;;;;;;;;;;;;;757429.19635;5.04375267029;22.7559242249;5.35147857666;;;;;;;;;;;;0.981427164548;1.00100185453;0.98267013995;108300.492188;133537.90625;141536.4375
;RU;2008;p18p100;551558.070021;;;;;;;;3074168.30689;;;;;;;;;;;;;;;;764907.677536;4.91426420212;21.808216095;5.20676183701;;;;;;;;;;;;0.979040975263;1.00045888539;0.980416243139;112236.140625;140963.765625;146906.59375
;RU;2008;p19p100;556955.602511;;;;;;;;3110337.49943;;;;;;;;;;;;;;;;772503.12004;4.78004741669;21.0233955383;5.06740617752;;;;;;;;;;;;0.976565480056;0.999885539743;0.978076639889;116516.75;147946.484375;152445.46875
;RU;2008;p20p100;562434.09698;;;;;;;;3147289.31555;;;;;;;;;;;;;;;;780220.543358;4.65636730194;19.5200901031;4.94729709625;;;;;;;;;;;;0.97399651121;0.999273583759;0.975652122317;120788.171875;161233.34375;157706.421875
;RU;2008;p21p100;568000.033778;;;;;;;;3185029.0;;;;;;;;;;;;;;;;788069.536955;4.55958938599;18.7131347656;4.84888887405;;;;;;;;;;;;0.971339893082;0.99861534365;0.973148811928;124572.632812;170202.859375;162525.796875
;RU;2008;p22p100;573663.177759;;;;;;;;3223595.8941;;;;;;;;;;;;;;;;796060.369562;4.48453330994;17.6389045715;4.76662826538;;;;;;;;;;;;0.968606434653;0.997913617482;0.97057305883;127920.375;182754.875;167007.015625
;RU;2008;p23p100;579431.752464;;;;;;;;3263002.33886;;;;;;;;;;;;;;;;804201.794458;4.42252635956;16.7249889374;4.69398975372;;;;;;;;;;;;0.965803530314;0.997162327569;0.967928747109;131018.273438;195097.4375;171325.84375
;RU;2008;p24p100;585312.100984;;;;;;;;3303289.59251;;;;;;;;;;;;;;;;812500.811124;4.36701869965;15.9249849319;4.62608289719;;;;;;;;;;;;0.962934768747;0.996363922548;0.965217130118;134030.140625;207428.109375;175634.734375
;RU;2008;p25p100;591308.906186;;;;;;;;3344475.20224;;;;;;;;;;;;;;;;820963.014591;4.31326198578;15.2814807892;4.55940485001;;;;;;;;;;;;0.960000494;0.995513138269;0.9624373771;137090.890625;218858.0625;180059.25
;RU;2008;p26p100;597425.513693;;;;;;;;3386645.36323;;;;;;;;;;;;;;;;829593.18048;4.25820589066;14.7924728394;4.49320173264;;;;;;;;;;;;0.956998502548;0.994624593263;0.959587359663;140299.8125;228943.828125;184632.96875
;RU;2008;p27p100;603664.379848;;;;;;;;3429863.39122;;;;;;;;;;;;;;;;838395.792039;4.2004904747;14.5848302841;4.42668104172;;;;;;;;;;;;0.953924895917;0.993704909034;0.956664317207;143712.828125;235166.5;189396.03125
;RU;2008;p28p100;610027.67136;;;;;;;;3474157.96507;;;;;;;;;;;;;;;;847375.773113;4.14044570923;14.0128126144;4.36121368408;;;;;;;;;;;;0.950775111525;0.992749804357;0.953665704688;147333.8125;247927.234375;194298.15625
;RU;2008;p29p100;616518.048321;;;;;;;;3519560.28004;;;;;;;;;;;;;;;;856539.209532;4.08008050919;13.8100976944;4.29898929596;;;;;;;;;;;;0.94754515748;0.991755251816;0.950589958773;151104.375;254854.125;199242.0
;RU;2008;p30p100;623139.668091;;;;;;;;3566119.37106;;;;;;;;;;;;;;;;865893.958918;4.02304553986;13.3505067825;4.24112558365;;;;;;;;;;;;0.944233080336;0.990721684888;0.947437074264;154892.515625;267114.90625;204166.078125
;RU;2008;p31p100;629899.2206;;;;;;;;3613816.35502;;;;;;;;;;;;;;;;875448.8706;3.97300457954;12.7841329575;4.18791484833;;;;;;;;;;;;0.940840349419;0.989630159505;0.94420762427;158544.796875;282679.8125;209041.71875
;RU;2008;p32p100;636804.683301;;;;;;;;3662711.8344;;;;;;;;;;;;;;;;885212.807306;3.92839503288;12.3753299713;4.13716077805;;;;;;;;;;;;0.937369750002;0.988483482758;0.940901642845;162103.015625;295968.8125;213966.265625
;RU;2008;p33p100;643863.289148;;;;;;;;3712876.9483;;;;;;;;;;;;;;;;895194.163486;3.88664603233;12.062707901;4.08804273605;;;;;;;;;;;;0.933822296836;0.98728630143;0.937518119492;165660.390625;307797.96875;218978.671875
;RU;2008;p34p100;651081.356383;;;;;;;;3764300.78718;;;;;;;;;;;;;;;;905400.958299;3.845682621;11.3756017685;4.03949022293;;;;;;;;;;;;0.930197071541;0.986020641151;0.934055131688;169301.890625;330910.03125;224137.4375
;RU;2008;p35p100;658464.364418;;;;;;;;3816940.26678;;;;;;;;;;;;;;;;915840.902287;3.80391740799;10.7953147888;3.99043917656;;;;;;;;;;;;0.92649142838;0.984660400597;0.930509941961;173101.640625;353573.78125;229508.796875
;RU;2008;p36p100;666017.082924;;;;;;;;3870857.89652;;;;;;;;;;;;;;;;926521.368438;3.76026701927;10.2127723694;3.94066953659;;;;;;;;;;;;0.922701263893;0.983206983449;0.926878993057;177119.625;379021.25;235117.75
;RU;2008;p37p100;673743.768134;;;;;;;;3926111.24487;;;;;;;;;;;;;;;;937449.601406;3.71417355537;9.77046203613;3.88961362839;;;;;;;;;;;;0.918821361417;0.981659565639;0.92315814036;181398.03125;401834.75;241013.546875
;RU;2008;p38p100;681648.4435;;;;;;;;3982794.43652;;;;;;;;;;;;;;;;948632.839113;3.66562795639;9.42191028595;3.83740329742;;;;;;;;;;;;0.914845823341;0.980025404394;0.919342779758;185956.796875;422716.25;247206.96875
;RU;2008;p39p100;689735.285603;;;;;;;;4040932.52988;;;;;;;;;;;;;;;;960078.955997;3.61518120766;8.98474597931;3.78457212448;;;;;;;;;;;;0.910768605869;0.978293542024;0.915428461511;190788.578125;449754.78125;253682.296875
;RU;2008;p40p100;698009.140652;;;;;;;;4100494.8442;;;;;;;;;;;;;;;;971796.804189;3.56394910812;8.53561496735;3.73229694366;;;;;;;;;;;;0.906584173291;0.976439350024;0.911411160478;195852.71875;480398.28125;260375.0
;RU;2008;p41p100;706476.199072;;;;;;;;4161650.7224;;;;;;;;;;;;;;;;983797.000376;3.51358914375;8.18394565582;3.68167209625;;;;;;;;;;;;0.902288287059;0.974485524177;0.907287925374;201069.671875;508513.96875;267214.71875
;RU;2008;p42p100;715144.689755;;;;;;;;4224321.89255;;;;;;;;;;;;;;;;996092.363686;3.46588373184;7.77676868439;3.63387703896;;;;;;;;;;;;0.897878731952;0.97239507355;0.903057137847;206338.34375;543197.5625;274112.84375
;RU;2008;p43p100;724025.132333;;;;;;;;4288527.56047;;;;;;;;;;;;;;;;1008698.27113;3.42219996452;7.33429145813;3.58985638618;;;;;;;;;;;;0.893355406711;0.97015430129;0.898718657033;211567.15625;584722.8125;280985.6875
;RU;2008;p44p100;733130.284024;;;;;;;;4354327.3989;;;;;;;;;;;;;;;;1021632.72151;3.38343763351;6.95397090912;3.55059933662;;;;;;;;;;;;0.888720011669;0.967758199502;0.894273675584;216682.078125;626164.1875;287735.28125
;RU;2008;p45p100;742474.977313;;;;;;;;4421790.91031;;;;;;;;;;;;;;;;1034916.10649;3.35003685951;6.7389087677;3.51613044739;;;;;;;;;;;;0.883975613311;0.965202958646;0.889724317966;221631.890625;656158.3125;294333.8125
;RU;2008;p46p100;752075.831436;;;;;;;;4491104.14541;;;;;;;;;;;;;;;;1048570.63857;3.32196855545;6.43454027176;3.48597717285;;;;;;;;;;;;0.879126082406;0.962508643793;0.885072970583;226394.625;697968.125;300796.75
;RU;2008;p47p100;761950.800437;;;;;;;;4562442.26938;;;;;;;;;;;;;;;;1062619.27259;3.2987010479;6.30374574661;3.45912623405;;;;;;;;;;;;0.874175382107;0.959690076706;0.880321246007;230985.109375;723766.875;307192.96875
;RU;2008;p48p100;772118.510808;;;;;;;;4635960.4994;;;;;;;;;;;;;;;;1077084.85965;3.27913856506;6.16068696976;3.43420171738;;;;;;;;;;;;0.869126677905;0.956755181572;0.875469237275;235463.828125;752507.0625;313634.71875
;RU;2008;p49p100;782597.329239;;;;;;;;4711972.57269;;;;;;;;;;;;;;;;1091989.88567;3.26153230667;6.11959171295;3.40988492966;;;;;;;;;;;;0.863981235649;0.953741504225;0.870515317547;239947.75;769981.5;320242.4375
;RU;2008;p50p100;793404.085304;;;;;;;;4790483.59595;;;;;;;;;;;;;;;;1107356.8125;3.24337649345;5.98784971237;3.3854675293;;;;;;;;;;;;0.858737067169;0.950620365439;0.865456435266;244622.875;800034.0625;327091.25
