Variable Name;.;.;.;Fiscal income  | individuals | Average | Adults | constant 2015 local currency;Fiscal income  | tax unit | Average | Adults | constant 2015 local currency;Personal agricultural land | individuals | Average | Adults | constant 2015 local currency;Personal agricultural land | individuals | Average | All Ages | constant 2015 local currency;Personal business and other non-financial assets | individuals | Average | Adults | constant 2015 local currency;Personal business and other non-financial assets | individuals | Average | All Ages | constant 2015 local currency;Personal debt | individuals | Average | Adults | constant 2015 local currency;Personal debt | individuals | Average | All Ages | constant 2015 local currency;Personal dwellings | individuals | Average | Adults | constant 2015 local currency;Personal dwellings | individuals | Average | All Ages | constant 2015 local currency;Net personal wealth | individuals | Average | Adults | constant 2015 local currency;Net personal wealth | individuals | Average | All Ages | constant 2015 local currency;Personal equity, fund shares & offshore wealth | individuals | Average | Adults | constant 2015 local currency;Personal equity, fund shares & offshore wealth | individuals | Average | All Ages | constant 2015 local currency;Personal financial assets | individuals | Average | Adults | constant 2015 local currency;Personal financial assets | individuals | Average | All Ages | constant 2015 local currency;Personal currency, bonds & deposits | individuals | Average | Adults | constant 2015 local currency;Personal currency, bonds & deposits | individuals | Average | All Ages | constant 2015 local currency;Personal housing assets | individuals | Average | Adults | constant 2015 local currency;Personal housing assets | individuals | Average | All Ages | constant 2015 local currency;Personal land underlying dwellings | individuals | Average | Adults | constant 2015 local currency;Personal land underlying dwellings | individuals | Average | All Ages | constant 2015 local currency;Personal non-financial assets | individuals | Average | Adults | constant 2015 local currency;Personal non-financial assets | individuals | Average | All Ages | constant 2015 local currency;Personal other domestic capital | individuals | Average | Adults | constant 2015 local currency;Personal other domestic capital | individuals | Average | All Ages | constant 2015 local currency;Personal pension funds & life insurance | individuals | Average | Adults | constant 2015 local currency;Personal pension funds & life insurance | individuals | Average | All Ages | constant 2015 local currency;Pre-tax national income  | individuals | Average | Adults | constant 2015 local currency;Pre-tax national income  | tax unit | Average | Adults | constant 2015 local currency;Fiscal income  | individuals | Beta coefficient | Adults | constant 2015 local currency;Pre-tax national income  | individuals | Beta coefficient | Adults | constant 2015 local currency;Fiscal income  | individuals | Total | All Ages | constant 2015 local currency;Personal agricultural land | individuals | Total | All Ages | constant 2015 local currency;Personal business and other non-financial assets | individuals | Total | All Ages | constant 2015 local currency;Personal debt | individuals | Total | All Ages | constant 2015 local currency;Personal dwellings | individuals | Total | All Ages | constant 2015 local currency;Net personal wealth | individuals | Total | All Ages | constant 2015 local currency;Personal equity, fund shares & offshore wealth | individuals | Total | All Ages | constant 2015 local currency;Personal financial assets | individuals | Total | All Ages | constant 2015 local currency;Personal currency, bonds & deposits | individuals | Total | All Ages | constant 2015 local currency;Personal housing assets | individuals | Total | All Ages | constant 2015 local currency;Personal land underlying dwellings | individuals | Total | All Ages | constant 2015 local currency;Personal non-financial assets | individuals | Total | All Ages | constant 2015 local currency;Personal other domestic capital | individuals | Total | All Ages | constant 2015 local currency;Personal pension funds & life insurance | individuals | Total | All Ages | constant 2015 local currency;Pre-tax national income  | individuals | Total | All Ages | constant 2015 local currency;Fiscal income  | individuals | Share | Adults | share of total (ratio);Pre-tax national income  | individuals | Share | Adults | share of total (ratio);Fiscal income  | individuals | Threshold | Adults | constant 2015 local currency;Pre-tax national income  | individuals | Threshold | Adults | constant 2015 local currency
;NO;1980;p99.99p100;5123170.35427;;;;;;;;;;;;;;;;;;;;;;;;;;;;9055729.80373;;1.4799394697;1.4799394697;;;;;;;;;;;;;;;;0.0023451361;0.0023451361;3461743.172;6118986.61331
;NO;1980;p90p100;551738.914711;;;;;;;;;;;;;;;;;;;;;;;;;;;;975255.201042;;1.3433136876;1.3433136876;;;;;;;;;;;;;;;;0.2525590134;0.2525590134;410729.76461;726007.045141
;NO;1980;p90p95;445405.876662;;;;;;;;;;;;;;;;;;;;;;;;;;;;787300.634787;;;;;;;;;;;;;;;;;;;0.101942482;0.101942482;410729.76461;726007.045141
;NO;1980;p95p99;571201.184684;;;;;;;;;;;;;;;;;;;;;;;;;;;;1009656.76219;;;;;;;;;;;;;;;;;;;0.1045871544;0.1045871544;490997.119856;867887.839826
;NO;1980;p99.5p99.9;1003420.03736;;;;;;;;;;;;;;;;;;;;;;;;;;;;1773647.97764;;;;;;;;;;;;;;;;;;;0.0183726591;0.0183726591;857323.666671;1515407.63684
;NO;1980;p99.95p99.99;2232625.67814;;;;;;;;;;;;;;;;;;;;;;;;;;;;3946395.19984;;;;;;;;;;;;;;;;;;;0.0040879461;0.0040879461;1677929.28786;2965912.35697
;NO;1980;p99.9p99.95;1463672.9633;;;;;;;;;;;;;;;;;;;;;;;;;;;;2587192.29698;;;;;;;;;;;;;;;;;;;0.0033499885;0.0033499885;1316299.23523;2326694.09581
;NO;1980;p99.9p99.99;1805429.72545;;;;;;;;;;;;;;;;;;;;;;;;;;;;3191282.47603;;;;;;;;;;;;;;;;;;;0.0074379346;0.0074379346;1316299.23523;2326694.09581
;NO;1980;p99p99.5;780933.262588;;;;;;;;;;;;;;;;;;;;;;;;;;;;1380379.75154;;;;;;;;;;;;;;;;;;;0.0178736472;0.0178736472;724114.013284;1279945.89247
;NO;1980;p95p100;658071.952761;;;;;;;;;;;;;;;;;;;;;;;;;;;;1163209.7673;;1.3402766048;1.3402766048;;;;;;;;;;;;;;;;0.1506165314;0.1506165314;490997.119856;867887.839826
;NO;1980;p99.5p100;1230176.78755;;;;;;;;;;;;;;;;;;;;;;;;;;;;2174463.82388;;1.4349035672;1.4349035672;;;;;;;;;;;;;;;;0.0281557298;0.0281557298;857323.666671;1515407.63684
;NO;1980;p99.95p100;2810734.61336;;;;;;;;;;;;;;;;;;;;;;;;;;;;4968262.12062;;1.6751210159;1.6751210159;;;;;;;;;;;;;;;;0.0064330822;0.0064330822;1677929.28786;2965912.35697
;NO;1979;p0p100;218056.508495;218056.508495;;;;;;;435038.230868;303048.279515;;;;;;;;;;;;;;;;;;;365963.593709;365963.593709;;;6.62265725145e+11;;;;1.23223491298e+12;;;;;;;;;;1.11147860909e+12;;;;
;NO;1979;p99p100;1071662.26147;;;;;;;;;;;;;;;;;;;;;;;;;;;;1798567.60597;;1.3928304898;1.3928304898;;;;;;;;;;;;;;;;0.04914608;0.04914608;769413.269824;1291304.01663
;NO;1979;p99.9p100;2221323.98377;;;;;;;;;;;;;;;;;;;;;;;;;;;;3728041.47652;;1.5427872225;1.5427872225;;;;;;;;;;;;;;;;0.010186919;0.010186919;1439812.27705;2416432.689
;NO;1979;p99.99p100;5017430.99907;;;;;;;;;;;;;;;;;;;;;;;;;;;;8420739.61599;;1.4882712412;1.4882712412;;;;;;;;;;;;;;;;0.0023009774;0.0023009774;3371314.89226;5658067.81927
;NO;1979;p90p100;579637.202987;;;;;;;;;;;;;;;;;;;;;;;;;;;;972803.40457;;1.3591007501;1.3591007501;;;;;;;;;;;;;;;;0.2658197212;0.2658197212;426485.823763;715769.89748
;NO;1979;p90p95;464197.408292;;;;;;;;;;;;;;;;;;;;;;;;;;;;779061.138333;;;;;;;;;;;;;;;;;;;0.1064397049;0.1064397049;426485.823763;715769.89748
;NO;1979;p95p99;600930.681734;;;;;;;;;;;;;;;;;;;;;;;;;;;;1008540.18701;;;;;;;;;;;;;;;;;;;0.1102339363;0.1102339363;513425.176286;861679.955857
;NO;1979;p99.5p99.9;1083040.8383;;;;;;;;;;;;;;;;;;;;;;;;;;;;1817664.23783;;;;;;;;;;;;;;;;;;;0.0198671591;0.0198671591;916244.176307;1537729.893
;NO;1979;p99.95p99.99;2303072.64384;;;;;;;;;;;;;;;;;;;;;;;;;;;;3865240.01109;;;;;;;;;;;;;;;;;;;0.0042247263;0.0042247263;1810270.51808;3038171.65997
;NO;1979;p99.9p99.95;1596703.65265;;;;;;;;;;;;;;;;;;;;;;;;;;;;2679743.02096;;;;;;;;;;;;;;;;;;;0.0036612153;0.0036612153;1439812.27705;2416432.689
;NO;1979;p99.9p99.99;1910645.42652;;;;;;;;;;;;;;;;;;;;;;;;;;;;3206630.57213;;;;;;;;;;;;;;;;;;;0.0078859416;0.0078859416;1439812.27705;2416432.689
;NO;1979;p99p99.5;832627.055551;;;;;;;;;;;;;;;;;;;;;;;;;;;;1397395.52638;;;;;;;;;;;;;;;;;;;0.0190920019;0.0190920019;769413.269824;1291304.01663
;NO;1979;p95p100;695076.997681;;;;;;;;;;;;;;;;;;;;;;;;;;;;1166545.67081;;1.3538038838;1.3538038838;;;;;;;;;;;;;;;;0.1593800163;0.1593800163;513425.176286;861679.955857
;NO;1979;p99.5p100;1310697.46739;;;;;;;;;;;;;;;;;;;;;;;;;;;;2199739.68557;;1.4305111031;1.4305111031;;;;;;;;;;;;;;;;0.0300540781;0.0300540781;916244.176307;1537729.893
;NO;1979;p99.95p100;2845944.31489;;;;;;;;;;;;;;;;;;;;;;;;;;;;4776339.93207;;1.5721099617;1.5721099617;;;;;;;;;;;;;;;;0.0065257037;0.0065257037;1810270.51808;3038171.65997
;NO;1978;p0p100;217994.393477;217994.393477;;;;;;;423278.215803;293445.778341;;;;;;;;;;;;;;;;;;;354052.615038;354052.615038;;;6.57201631349e+11;;;;1.18880988478e+12;;;;;;;;;;1.06738504819e+12;;;;
;NO;1978;p99p100;1075674.77535;;;;;;;;;;;;;;;;;;;;;;;;;;;;1747042.48613;;1.3584429818;1.3584429818;;;;;;;;;;;;;;;;0.0493441486;0.0493441486;791843.890197;1286062.43286
;NO;1978;p99.9p100;2055669.62984;;;;;;;;;;;;;;;;;;;;;;;;;;;;3338687.73636;;1.4308742044;1.4308742044;;;;;;;;;;;;;;;;0.0094299197;0.0094299197;1436652.93811;2333320.23603
;NO;1978;p99.99p100;4530977.61215;;;;;;;;;;;;;;;;;;;;;;;;;;;;7358925.36808;;1.6477745655;1.6477745655;;;;;;;;;;;;;;;;0.0020784836;0.0020784836;2749755.7657;4465978.24848
;NO;1978;p90p100;593412.61527;;;;;;;;;;;;;;;;;;;;;;;;;;;;963782.989468;;1.3546955823;1.3546955823;;;;;;;;;;;;;;;;0.2722146225;0.2722146225;438041.30096;711438.792648
;NO;1978;p90p95;476892.922181;;;;;;;;;;;;;;;;;;;;;;;;;;;;774539.122304;;;;;;;;;;;;;;;;;;;0.1093819237;0.1093819237;438041.30096;711438.792648
;NO;1978;p95p99;618496.691611;;;;;;;;;;;;;;;;;;;;;;;;;;;;1004522.94926;;;;;;;;;;;;;;;;;;;0.1134885502;0.1134885502;527895.926798;857374.955242
;NO;1978;p99.5p99.9;1104647.97129;;;;;;;;;;;;;;;;;;;;;;;;;;;;1794098.90636;;;;;;;;;;;;;;;;;;;0.0202692914;0.0202692914;941941.958358;1529842.15901
;NO;1978;p99.95p99.99;2052007.824;;;;;;;;;;;;;;;;;;;;;;;;;;;;3332740.46445;;;;;;;;;;;;;;;;;;;0.0037652488;0.0037652488;1728169.93444;2806783.58172
;NO;1978;p99.9p99.95;1563537.47804;;;;;;;;;;;;;;;;;;;;;;;;;;;;2539398.02754;;;;;;;;;;;;;;;;;;;0.0035861874;0.0035861874;1436652.93811;2333320.23603
;NO;1978;p99.9p99.99;1780635.40958;;;;;;;;;;;;;;;;;;;;;;;;;;;;2891994.66616;;;;;;;;;;;;;;;;;;;0.0073514362;0.0073514362;1436652.93811;2333320.23603
;NO;1978;p99p99.5;856497.247708;;;;;;;;;;;;;;;;;;;;;;;;;;;;1391068.29991;;;;;;;;;;;;;;;;;;;0.0196449375;0.0196449375;791843.890197;1286062.43286
;NO;1978;p95p100;709932.30836;;;;;;;;;;;;;;;;;;;;;;;;;;;;1153026.85663;;1.3448338438;1.3448338438;;;;;;;;;;;;;;;;0.1628326988;0.1628326988;527895.926798;857374.955242
;NO;1978;p99.5p100;1294852.303;;;;;;;;;;;;;;;;;;;;;;;;;;;;2103016.67236;;1.3746625166;1.3746625166;;;;;;;;;;;;;;;;0.0296992111;0.0296992111;941941.958358;1529842.15901
;NO;1978;p99.95p100;2547801.78163;;;;;;;;;;;;;;;;;;;;;;;;;;;;4137977.44517;;1.4742773444;1.4742773444;;;;;;;;;;;;;;;;0.0058437324;0.0058437324;1728169.93444;2806783.58172
;NO;1977;p0p100;200566.184966;200566.184966;;;;;;;411559.602341;283880.112088;;;;;;;;;;;;;;;;;;;353629.806684;353629.806684;;;5.99190694123e+11;;;;1.14551359606e+12;;;;;;;;;;1.0564676661e+12;;;;
;NO;1977;p99p100;1068098.7707;;;;;;;;;;;;;;;;;;;;;;;;;;;;1883226.53624;;1.3446112128;1.3446112128;;;;;;;;;;;;;;;;0.05325418;0.05325418;794355.097247;1400573.27972
;NO;1977;p99.9p100;2008889.13405;;;;;;;;;;;;;;;;;;;;;;;;;;;;3541988.27805;;1.423774556;1.423774556;;;;;;;;;;;;;;;;0.0100160909;0.0100160909;1410960.13104;2487745.17231
;NO;1977;p99.99p100;4577534.58271;;;;;;;;;;;;;;;;;;;;;;;;;;;;8070915.19364;;1.7464937306;1.7464937306;;;;;;;;;;;;;;;;0.0022823063;0.0022823063;2620985.40773;4621210.5157
;NO;1977;p90p100;594329.042147;;;;;;;;;;;;;;;;;;;;;;;;;;;;1047895.80715;;1.3508736754;1.3508736754;;;;;;;;;;;;;;;;0.2963256454;0.2963256454;439959.007996;775717.097939
;NO;1977;p90p95;478630.423385;;;;;;;;;;;;;;;;;;;;;;;;;;;;843900.90046;;;;;;;;;;;;;;;;;;;0.1193198204;0.1193198204;439959.007996;775717.097939
;NO;1977;p95p99;620509.883464;;;;;;;;;;;;;;;;;;;;;;;;;;;;1094056.75823;;;;;;;;;;;;;;;;;;;0.1237516451;0.1237516451;529386.058554;933391.087733
;NO;1977;p99.5p99.9;1096156.53921;;;;;;;;;;;;;;;;;;;;;;;;;;;;1932696.80591;;;;;;;;;;;;;;;;;;;0.0218612432;0.0218612432;940640.087358;1658496.78154
;NO;1977;p99.95p99.99;1971978.68272;;;;;;;;;;;;;;;;;;;;;;;;;;;;3476909.33282;;;;;;;;;;;;;;;;;;;0.0039328238;0.0039328238;1674273.11324;2952007.47559
;NO;1977;p99.9p99.95;1524688.40537;;;;;;;;;;;;;;;;;;;;;;;;;;;;2688266.05111;;;;;;;;;;;;;;;;;;;0.0038009608;0.0038009608;1410960.13104;2487745.17231
;NO;1977;p99.9p99.99;1723484.0842;;;;;;;;;;;;;;;;;;;;;;;;;;;;3038774.17632;;;;;;;;;;;;;;;;;;;0.0077337846;0.0077337846;1410960.13104;2487745.17231
;NO;1977;p99p99.5;857494.483211;;;;;;;;;;;;;;;;;;;;;;;;;;;;1511897.97214;;;;;;;;;;;;;;;;;;;0.0213768458;0.0213768458;794355.097247;1400573.27972
;NO;1977;p95p100;710027.66091;;;;;;;;;;;;;;;;;;;;;;;;;;;;1251890.71383;;1.3412284843;1.3412284843;;;;;;;;;;;;;;;;0.177005825;0.177005825;529386.058554;933391.087733
;NO;1977;p99.5p100;1278703.05818;;;;;;;;;;;;;;;;;;;;;;;;;;;;2254555.10034;;1.3593967293;1.3593967293;;;;;;;;;;;;;;;;0.0318773341;0.0318773341;940640.087358;1658496.78154
;NO;1977;p99.95p100;2493089.86272;;;;;;;;;;;;;;;;;;;;;;;;;;;;4395710.50498;;1.4890580533;1.4890580533;;;;;;;;;;;;;;;;0.0062151301;0.0062151301;1674273.11324;2952007.47559
;NO;1976;p0p100;199944.704935;199944.704935;;;;;;;390817.684122;268260.164739;;;;;;;;;;;;;;;;;;;351723.235046;351723.235046;;;5.92899216258e+11;;;;1.07762817603e+12;;;;;;;;;;1.0429705076e+12;;;;
;NO;1976;p99p100;1061198.48991;;;;;;;;;;;;;;;;;;;;;;;;;;;;1866756.94172;;1.3519150051;1.3519150051;;;;;;;;;;;;;;;;0.0530745983;0.0530745983;784959.472987;1380824.18991
;NO;1976;p99.9p100;1999834.61078;;;;;;;;;;;;;;;;;;;;;;;;;;;;3517914.11075;;1.4127318521;1.4127318521;;;;;;;;;;;;;;;;0.0100019383;0.0100019383;1415579.7562;2490149.92159
;NO;1976;p99.99p100;4255485.26832;;;;;;;;;;;;;;;;;;;;;;;;;;;;7485834.87495;;1.5812067323;1.5812067323;;;;;;;;;;;;;;;;0.0021283311;0.0021283311;2691289.62167;4734254.36541
;NO;1976;p90p100;586956.892943;;;;;;;;;;;;;;;;;;;;;;;;;;;;1032517.35166;;1.3540698436;1.3540698436;;;;;;;;;;;;;;;;0.2935596085;0.2935596085;433476.083777;762528.872923
;NO;1976;p90p95;472129.258472;;;;;;;;;;;;;;;;;;;;;;;;;;;;830523.770076;;;;;;;;;;;;;;;;;;;0.1180649567;0.1180649567;433476.083777;762528.872923
;NO;1976;p95p99;611931.036791;;;;;;;;;;;;;;;;;;;;;;;;;;;;1076449.43113;;;;;;;;;;;;;;;;;;;0.1224200535;0.1224200535;522100.540404;918428.378235
;NO;1976;p99.5p99.9;1091788.90894;;;;;;;;;;;;;;;;;;;;;;;;;;;;1920568.62503;;;;;;;;;;;;;;;;;;;0.0218418169;0.0218418169;935078.45054;1644898.86217
;NO;1976;p99.95p99.99;2014062.11954;;;;;;;;;;;;;;;;;;;;;;;;;;;;3542941.75732;;;;;;;;;;;;;;;;;;;0.0040292382;0.0040292382;1698936.86242;2988604.12225
;NO;1976;p99.9p99.95;1537322.47226;;;;;;;;;;;;;;;;;;;;;;;;;;;;2704307.84066;;;;;;;;;;;;;;;;;;;0.0038443691;0.0038443691;1415579.7562;2490149.92159
;NO;1976;p99.9p99.99;1749206.75994;;;;;;;;;;;;;;;;;;;;;;;;;;;;3077034.02584;;;;;;;;;;;;;;;;;;;0.0078736073;0.0078736073;1415579.7562;2490149.92159
;NO;1976;p99p99.5;848998.930518;;;;;;;;;;;;;;;;;;;;;;;;;;;;1493476.16127;;;;;;;;;;;;;;;;;;;0.0212308431;0.0212308431;784959.472987;1380824.18991
;NO;1976;p95p100;701784.527415;;;;;;;;;;;;;;;;;;;;;;;;;;;;1234510.93325;;1.3441559108;1.3441559108;;;;;;;;;;;;;;;;0.1754946518;0.1754946518;522100.540404;918428.378235
;NO;1976;p99.5p100;1273398.04931;;;;;;;;;;;;;;;;;;;;;;;;;;;;2240037.72217;;1.3618087857;1.3618087857;;;;;;;;;;;;;;;;0.0318437552;0.0318437552;935078.45054;1644898.86217
;NO;1976;p99.95p100;2462346.7493;;;;;;;;;;;;;;;;;;;;;;;;;;;;4331520.38084;;1.4493456489;1.4493456489;;;;;;;;;;;;;;;;0.0061575693;0.0061575693;1698936.86242;2988604.12225
;NO;1975;p0p100;193763.810765;193763.810765;;;;;;;367921.096888;251549.141034;;;;;;;;;;;;;;;;;;;343519.521866;343519.521866;;;5.69602072205e+11;;;;1.00557398001e+12;;;;;;;;;;1.00983476081e+12;;;;
;NO;1975;p99p100;1047989.25543;;;;;;;;;;;;;;;;;;;;;;;;;;;;1857956.68719;;1.3825788617;1.3825788617;;;;;;;;;;;;;;;;0.0540859127;0.0540859127;757996.00621;1343834.1484
;NO;1975;p99.9p100;2079593.07368;;;;;;;;;;;;;;;;;;;;;;;;;;;;3686863.99965;;1.490702612;1.490702612;;;;;;;;;;;;;;;;0.0107326186;0.0107326186;1395042.21491;2473239.10877
;NO;1975;p99.99p100;5047545.22853;;;;;;;;;;;;;;;;;;;;;;;;;;;;8948679.92458;;1.8078200164;1.8078200164;;;;;;;;;;;;;;;;0.0026049989;0.0026049989;2792061.8107;4949983.87183
;NO;1975;p90p100;562567.20351;;;;;;;;;;;;;;;;;;;;;;;;;;;;997362.799608;;1.3699896508;1.3699896508;;;;;;;;;;;;;;;;0.2903365707;0.2903365707;410636.097277;728007.543001
;NO;1975;p90p95;447012.440287;;;;;;;;;;;;;;;;;;;;;;;;;;;;792498.347081;;;;;;;;;;;;;;;;;;;0.1153498268;0.1153498268;410636.097277;728007.543001
;NO;1975;p95p99;585655.144559;;;;;;;;;;;;;;;;;;;;;;;;;;;;1038294.89337;;;;;;;;;;;;;;;;;;;0.1209008312;0.1209008312;495663.475365;878750.677908
;NO;1975;p99.5p99.9;1071094.87372;;;;;;;;;;;;;;;;;;;;;;;;;;;;1898920.12054;;;;;;;;;;;;;;;;;;;0.0221113503;0.0221113503;910254.334414;1613769.52951
;NO;1975;p99.95p99.99;2037228.96416;;;;;;;;;;;;;;;;;;;;;;;;;;;;3611757.61839;;;;;;;;;;;;;;;;;;;0.0042055923;0.0042055923;1691319.78429;2998502.97808
;NO;1975;p99.9p99.95;1519893.93032;;;;;;;;;;;;;;;;;;;;;;;;;;;;2694585.91967;;;;;;;;;;;;;;;;;;;0.0039220273;0.0039220273;1395042.21491;2473239.10877
;NO;1975;p99.9p99.99;1749820.61202;;;;;;;;;;;;;;;;;;;;;;;;;;;;3102217.78577;;;;;;;;;;;;;;;;;;;0.0081276196;0.0081276196;1395042.21491;2473239.10877
;NO;1975;p99p99.5;823183.997153;;;;;;;;;;;;;;;;;;;;;;;;;;;;1459404.47802;;;;;;;;;;;;;;;;;;;0.0212419438;0.0212419438;757996.00621;1343834.1484
;NO;1975;p95p100;678121.966733;;;;;;;;;;;;;;;;;;;;;;;;;;;;1202227.25213;;1.3681096156;1.3681096156;;;;;;;;;;;;;;;;0.1749867439;0.1749867439;495663.475365;878750.677908
;NO;1975;p99.5p100;1272794.51371;;;;;;;;;;;;;;;;;;;;;;;;;;;;2256508.89636;;1.3982844855;1.3982844855;;;;;;;;;;;;;;;;0.0328439689;0.0328439689;910254.334414;1613769.52951
;NO;1975;p99.95p100;2639292.21703;;;;;;;;;;;;;;;;;;;;;;;;;;;;4679142.07963;;1.5604927238;1.5604927238;;;;;;;;;;;;;;;;0.0068105912;0.0068105912;1691319.78429;2998502.97808
;NO;1974;p0p100;188484.725762;188484.725762;;;;;;;345883.760915;235757.419891;;;;;;;;;;;;;;;;;;;341081.511945;341081.511945;;;5.49095028372e+11;;;;9.36661871653e+11;;;;;;;;;;9.93641058828e+11;;;;
;NO;1974;p99p100;1032859.90078;;;;;;;;;;;;;;;;;;;;;;;;;;;;1869060.82263;;1.4075169361;1.4075169361;;;;;;;;;;;;;;;;0.054798069;0.054798069;733817.032157;1327913.55802
;NO;1974;p99.9p100;2132842.19386;;;;;;;;;;;;;;;;;;;;;;;;;;;;3859586.16689;;1.5613063374;1.5613063374;;;;;;;;;;;;;;;;0.0113157296;0.0113157296;1366062.59948;2472023.63459
;NO;1974;p99.99p100;5755385.13929;;;;;;;;;;;;;;;;;;;;;;;;;;;;10414931.2747;;2.0184692859;2.0184692859;;;;;;;;;;;;;;;;0.0030535021;0.0030535021;2851361.26637;5159816.5735
;NO;1974;p90p100;538596.340565;;;;;;;;;;;;;;;;;;;;;;;;;;;;974642.658314;;1.3964953115;1.3964953115;;;;;;;;;;;;;;;;0.2857506561;0.2857506561;385677.156319;697920.465802
;NO;1974;p90p95;422113.2776;;;;;;;;;;;;;;;;;;;;;;;;;;;;763855.184309;;;;;;;;;;;;;;;;;;;0.1119754601;0.1119754601;385677.156319;697920.465802
;NO;1974;p95p99;560634.279217;;;;;;;;;;;;;;;;;;;;;;;;;;;;1014522.45974;;;;;;;;;;;;;;;;;;;0.1189771271;0.1189771271;470320.043679;851090.033678
;NO;1974;p99.5p99.9;1049818.99362;;;;;;;;;;;;;;;;;;;;;;;;;;;;1899749.95675;;;;;;;;;;;;;;;;;;;0.0222791314;0.0222791314;887646.27962;1606282.59877
;NO;1974;p99.95p99.99;2030746.37001;;;;;;;;;;;;;;;;;;;;;;;;;;;;3674833.80663;;;;;;;;;;;;;;;;;;;0.0043096253;0.0043096253;1657528.54204;2999459.7118
;NO;1974;p99.9p99.95;1490010.26384;;;;;;;;;;;;;;;;;;;;;;;;;;;;2696319.03355;;;;;;;;;;;;;;;;;;;0.0039526021;0.0039526021;1366062.59948;2472023.63459
;NO;1974;p99.9p99.99;1730337.42214;;;;;;;;;;;;;;;;;;;;;;;;;;;;3131214.48825;;;;;;;;;;;;;;;;;;;0.0082622275;0.0082622275;1366062.59948;2472023.63459
;NO;1974;p99p99.5;799296.167886;;;;;;;;;;;;;;;;;;;;;;;;;;;;1446404.44648;;;;;;;;;;;;;;;;;;;0.021203208;0.021203208;733817.032157;1327913.55802
;NO;1974;p95p100;655079.403529;;;;;;;;;;;;;;;;;;;;;;;;;;;;1185430.13232;;1.3928375206;1.3928375206;;;;;;;;;;;;;;;;0.1737751961;0.1737751961;470320.043679;851090.033678
;NO;1974;p99.5p100;1266423.63367;;;;;;;;;;;;;;;;;;;;;;;;;;;;2291717.19878;;1.4267210518;1.4267210518;;;;;;;;;;;;;;;;0.033594861;0.033594861;887646.27962;1606282.59877
;NO;1974;p99.95p100;2775674.12387;;;;;;;;;;;;;;;;;;;;;;;;;;;;5022853.30024;;1.6745860198;1.6745860198;;;;;;;;;;;;;;;;0.0073631275;0.0073631275;1657528.54204;2999459.7118
;NO;1973;p0p100;180597.652693;180597.652693;;;;;;;320697.122904;217974.776315;;;;;;;;;;;;;;;;;;;328123.839313;328123.839313;;;5.21367169557e+11;;;;8.60615422991e+11;;;;;;;;;;9.47260359236e+11;;;;
;NO;1973;p99p100;1018818.66409;;;;;;;;;;;;;;;;;;;;;;;;;;;;1851068.86297;;1.4051670319;1.4051670319;;;;;;;;;;;;;;;;0.0564137268;0.0564137268;725051.64224;1317330.12586
;NO;1973;p99.9p100;2052641.30469;;;;;;;;;;;;;;;;;;;;;;;;;;;;3729398.11556;;1.4967318735;1.4967318735;;;;;;;;;;;;;;;;0.0113658249;0.0113658249;1371415.50935;2491694.19155
;NO;1973;p99.99p100;4889598.31059;;;;;;;;;;;;;;;;;;;;;;;;;;;;8883801.90134;;1.7005432085;1.7005432085;;;;;;;;;;;;;;;;0.002707454;0.002707454;2875315.53805;5224096.54564
;NO;1973;p90p100;528147.034328;;;;;;;;;;;;;;;;;;;;;;;;;;;;959578.544026;;1.4084997514;1.4084997514;;;;;;;;;;;;;;;;0.2924440193;0.2924440193;374971.336574;681277.041835
;NO;1973;p90p95;411683.959084;;;;;;;;;;;;;;;;;;;;;;;;;;;;747979.385246;;;;;;;;;;;;;;;;;;;0.1139782143;0.1139782143;374971.336574;681277.041835
;NO;1973;p95p99;551057.970943;;;;;;;;;;;;;;;;;;;;;;;;;;;;1001204.91276;;;;;;;;;;;;;;;;;;;0.1220520782;0.1220520782;460082.603548;835913.800796
;NO;1973;p99.5p99.9;1046959.83386;;;;;;;;;;;;;;;;;;;;;;;;;;;;1902197.92545;;;;;;;;;;;;;;;;;;;0.0231887805;0.0231887805;877609.573609;1594509.22211
;NO;1973;p99.95p99.99;2043460.29766;;;;;;;;;;;;;;;;;;;;;;;;;;;;3712717.34906;;;;;;;;;;;;;;;;;;;0.0045259953;0.0045259953;1664487.32488;3024169.82382
;NO;1973;p99.9p99.95;1492594.70913;;;;;;;;;;;;;;;;;;;;;;;;;;;;2711861.9716;;;;;;;;;;;;;;;;;;;0.0041323757;0.0041323757;1371415.50935;2491694.19155
;NO;1973;p99.9p99.99;1737423.85959;;;;;;;;;;;;;;;;;;;;;;;;;;;;3156686.5838;;;;;;;;;;;;;;;;;;;0.008658371;0.008658371;1371415.50935;2491694.19155
;NO;1973;p99p99.5;789541.200159;;;;;;;;;;;;;;;;;;;;;;;;;;;;1434499.76248;;;;;;;;;;;;;;;;;;;0.0218591213;0.0218591213;725051.64224;1317330.12586
;NO;1973;p95p100;644610.109573;;;;;;;;;;;;;;;;;;;;;;;;;;;;1171177.70281;;1.4010747301;1.4010747301;;;;;;;;;;;;;;;;0.1784658051;0.1784658051;460082.603548;835913.800796
;NO;1973;p99.5p100;1248096.12803;;;;;;;;;;;;;;;;;;;;;;;;;;;;2267637.96347;;1.4221541851;1.4221541851;;;;;;;;;;;;;;;;0.0345546055;0.0345546055;877609.573609;1594509.22211
